Longitude,Latitude,Accident_Severity,Date,Day_of_Week,Time,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Carriageway_Hazards,Urban_or_Rural_Area
-3.902847,58.345928,3,30/01/2016,7,23:43,6,3,3,0,2
-3.962583,57.978988,3,12/02/2016,6,13:30,1,1,2,0,2
-3.650669,58.116052,3,21/02/2016,1,00:05,4,2,4,0,2
-3.85247,58.012075,3,19/03/2016,7,09:43,1,1,1,0,2
-3.674302,58.136738,3,27/07/2016,4,09:30,1,8,2,0,2
-4.083294,57.940356,3,30/07/2016,7,12:30,1,1,1,0,2
-4.112636,58.540673,2,13/08/2016,7,18:10,1,1,1,0,2
-4.093399,57.882077,1,15/08/2016,2,02:28,6,1,1,2,2
-3.855547,58.008068,3,24/08/2016,4,08:55,1,1,1,0,2
-4.310828,57.90553,3,02/09/2016,6,22:08,6,2,2,0,2
-3.857073,58.011073,3,22/09/2016,5,11:10,1,1,1,0,2
-4.337303,58.01888,3,29/09/2016,5,18:30,6,1,2,7,2
-3.758519,58.564013,3,09/11/2016,4,15:15,1,2,2,0,2
-3.885934,58.551524,3,18/11/2016,6,06:30,6,3,4,0,2
-4.018792,57.898253,3,05/12/2016,2,15:40,1,7,4,7,2
-3.94794,57.985583,3,29/12/2016,5,16:50,6,1,2,0,2
-3.622615,58.603035,1,17/02/2016,4,17:46,6,1,1,0,2
-3.689436,58.552489,2,06/05/2016,6,12:25,1,1,1,0,2
-3.627241,58.601467,3,26/09/2016,2,08:15,1,1,1,0,2
-3.707721,58.587075,3,15/12/2016,5,16:25,6,1,2,0,2
