Longitude,Latitude,Accident_Severity,Date,Day_of_Week,Time,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Carriageway_Hazards,Urban_or_Rural_Area
-4.223973,50.405557,3,17/01/2016,1,15:15,1,1,1,0,1
-4.080715,50.348341,3,20/01/2016,4,14:45,1,1,1,0,1
-4.13409,50.407907,3,23/01/2016,7,15:50,1,2,2,0,1
-4.158788,50.410635,3,23/01/2016,7,18:25,4,1,2,0,1
-4.098741,50.406454,3,18/01/2016,2,08:20,1,2,2,0,2
-4.036312,50.383873,3,28/01/2016,5,08:43,1,1,1,0,1
-3.644054,50.554084,3,28/01/2016,5,10:07,1,8,2,0,2
-4.300432,50.4972,3,11/01/2016,2,07:13,6,2,2,0,2
-4.184696,50.405006,3,11/01/2016,2,09:53,1,1,2,0,1
-3.590656,50.445587,3,01/02/2016,2,12:21,1,1,2,0,1
-3.589453,50.461819,2,02/02/2016,3,07:43,1,1,2,0,2
-3.590649,50.444526,3,07/02/2016,1,11:45,1,1,1,0,2
-3.701785,50.681102,2,06/02/2016,7,11:50,1,5,2,0,2
-4.114266,50.400156,2,07/02/2016,1,18:00,4,2,2,0,1
-4.151752,50.370263,3,05/02/2016,6,15:58,1,5,2,0,1
-4.113762,50.416652,2,05/02/2016,6,22:11,4,2,2,0,1
-4.148216,50.37792,3,10/02/2016,4,07:10,1,1,2,0,1
-3.654482,50.565224,3,10/02/2016,4,20:11,4,1,2,0,2
-4.12102,50.419056,3,12/02/2016,6,17:45,4,1,1,0,1
-4.07101,50.390501,3,29/01/2016,6,23:06,4,5,2,0,1
-4.139353,50.370366,2,16/02/2016,3,15:00,1,1,1,0,1
-3.865398,50.398244,3,08/02/2016,2,21:27,6,4,2,0,2
-4.124009,50.384526,3,14/02/2016,1,12:25,1,1,1,0,1
-4.137011,50.372406,3,17/02/2016,4,13:01,1,8,2,0,1
-3.595183,50.546211,3,25/02/2016,5,15:30,1,1,1,0,1
-4.112452,50.427082,2,25/02/2016,5,10:39,1,1,1,0,1
-4.300432,50.4972,2,26/02/2016,6,10:55,1,1,2,0,2
-3.768304,50.487354,2,26/02/2016,6,18:46,4,1,1,0,2
-4.108684,50.445904,3,03/02/2016,4,11:42,1,1,1,0,2
-4.12833,50.411898,3,04/02/2016,5,17:16,1,1,1,0,1
-3.781382,50.289391,3,02/03/2016,4,08:40,1,2,2,0,2
-4.094906,50.405984,2,07/03/2016,2,16:50,1,1,1,0,1
-4.194119,50.402733,3,04/03/2016,6,20:40,4,2,2,0,1
-4.306921,50.599888,2,03/03/2016,5,15:30,1,1,2,0,2
-4.022861,50.378189,3,26/02/2016,6,22:50,6,1,1,0,2
-3.622981,50.499913,3,25/02/2016,5,16:19,1,1,2,0,2
-4.136756,50.382682,3,25/02/2016,5,10:15,1,1,1,0,1
