Longitude,Latitude,Accident_Severity,Date,Day_of_Week,Time,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Carriageway_Hazards,Urban_or_Rural_Area
-2.208215,56.964293,3,16/01/2016,7,11:20,1,1,1,0,2
-2.488214,56.783848,3,06/02/2016,7,19:00,6,2,2,0,2
-2.578391,56.924921,3,08/02/2016,2,08:45,1,1,4,0,2
-2.286499,56.83393,3,16/02/2016,3,17:35,6,1,2,0,2
-2.551839,56.82445,2,17/02/2016,4,04:00,6,2,2,0,2
-2.235662,56.945936,2,25/02/2016,5,15:10,1,1,1,0,2
-2.207582,56.942131,3,21/03/2016,2,18:30,1,1,1,0,2
-2.339002,56.797001,2,08/04/2016,6,08:50,1,1,1,0,2
-2.417927,56.865568,2,21/04/2016,5,12:50,1,1,1,0,2
-2.229197,56.904911,3,14/04/2016,5,06:30,6,1,1,0,2
-2.328171,56.803498,3,11/06/2016,7,11:45,1,2,2,0,2
-2.20942,56.965252,3,12/06/2016,1,11:15,1,1,2,0,2
-2.517357,56.840472,2,16/06/2016,5,13:20,1,1,1,0,2
-2.574194,56.806705,2,20/06/2016,2,18:20,1,1,1,0,2
-2.32552,56.841434,2,25/06/2016,7,08:30,1,2,2,0,2
-2.228488,56.96635,3,24/06/2016,6,18:35,1,1,1,0,2
-2.221446,56.940868,2,06/07/2016,4,10:21,1,1,2,7,2
-2.370153,56.789761,2,29/07/2016,6,08:45,1,1,1,0,2
-2.225872,56.949826,3,18/08/2016,5,18:59,1,1,1,0,2
-2.27235,56.934641,3,19/08/2016,6,12:30,1,1,1,0,2
-2.226271,56.964073,3,26/08/2016,6,22:45,4,1,1,0,2
-2.467881,56.906958,3,19/09/2016,2,15:30,1,1,1,0,2
-2.214475,56.960509,2,27/09/2016,3,15:00,1,1,1,0,2
-2.281075,56.932394,3,13/10/2016,5,13:11,1,1,1,0,2
-2.209988,56.963796,3,10/11/2016,5,09:00,1,1,2,0,2
-2.209267,56.964327,3,25/11/2016,6,17:35,4,1,2,0,2
-2.511433,56.790691,2,27/11/2016,1,18:30,6,1,2,0,2
-2.297627,56.926884,3,22/12/2016,5,16:45,6,1,1,0,2
-2.20682,56.929187,3,21/12/2016,4,16:35,6,1,1,0,2
-2.468117,56.712979,2,17/12/2016,7,14:55,1,1,1,0,1
-2.694177,56.570963,2,15/12/2016,5,19:25,6,1,2,0,2
-2.813616,56.484348,2,25/12/2016,1,19:00,4,1,1,0,1
-2.707784,56.605862,2,13/12/2016,3,06:30,6,1,2,0,2
-2.582515,56.564645,3,20/12/2016,3,08:20,1,1,1,0,1
-2.752622,56.723346,2,27/01/2016,4,07:29,6,2,2,0,2
-2.609362,56.558416,3,18/01/2016,2,13:00,1,1,2,0,1
-2.685723,56.530976,3,18/01/2016,2,07:40,6,2,2,0,2
-2.735161,56.613116,3,03/02/2016,4,06:45,6,8,2,0,2
-2.500272,56.696171,1,19/02/2016,6,12:02,1,2,2,0,2
-2.615091,56.771913,2,07/02/2016,1,11:09,1,5,2,0,2
-2.462641,56.710044,3,10/02/2016,4,19:40,4,1,1,0,1
-2.654844,56.733053,3,12/02/2016,6,10:35,1,1,1,0,2
-2.553524,56.718666,3,21/02/2016,1,17:20,1,1,1,0,2
-2.681775,56.721912,3,15/02/2016,2,19:20,6,1,2,0,2
-2.582466,56.564637,3,17/02/2016,4,06:55,4,2,2,0,1
-2.740735,56.658938,3,23/02/2016,3,08:00,1,1,2,0,2
-2.471502,56.714539,3,27/02/2016,7,11:20,1,1,1,0,1
-2.775959,56.735358,3,29/02/2016,2,14:55,1,1,2,0,2
-2.577796,56.754465,3,29/02/2016,2,16:30,1,1,1,0,2
-2.532453,56.589513,3,11/03/2016,6,21:35,6,2,2,0,2
-2.452812,56.745764,2,13/03/2016,1,18:26,1,1,1,0,2
-2.717302,56.498643,3,15/03/2016,3,14:00,1,1,1,0,1
-2.461315,56.716454,3,23/03/2016,4,07:50,1,1,1,0,1
-2.653241,56.606592,2,29/03/2016,3,12:00,1,1,1,0,2
-2.468358,56.711307,3,19/03/2016,7,20:10,4,1,1,0,1
-2.51559,56.772688,3,04/04/2016,2,16:30,1,2,2,0,2
-2.473473,56.82718,3,11/04/2016,2,15:15,1,1,1,0,2
-2.663855,56.73517,3,13/04/2016,4,08:43,1,2,2,0,2
-2.483392,56.752531,3,28/03/2016,2,06:40,1,1,1,0,2
-2.674758,56.635667,3,22/04/2016,6,20:45,6,1,2,0,2
-2.504189,56.725317,2,18/04/2016,2,10:00,1,1,1,0,2
-2.806438,56.499605,2,17/04/2016,1,16:20,1,1,1,0,2
-2.716028,56.726392,3,11/05/2016,4,08:20,1,1,1,0,2
-2.600512,56.602608,2,15/05/2016,1,00:40,6,1,1,7,2
-2.60996,56.558207,3,21/05/2016,7,07:30,1,1,1,0,1
-2.724361,56.50083,3,26/06/2016,1,18:55,1,1,1,0,1
-2.722502,56.711198,3,30/06/2016,5,15:30,1,1,1,7,2
-2.585911,56.563264,3,11/07/2016,2,09:30,1,1,2,0,1
-2.58575,56.782161,3,30/01/2016,7,07:50,6,1,4,0,2
-2.776407,56.492735,3,27/06/2016,2,16:00,1,1,1,0,2
-2.779818,56.577374,2,30/06/2016,5,08:00,1,1,1,0,2
-2.677334,56.546484,3,26/06/2016,1,21:30,1,2,2,0,2
-2.515377,56.77268,1,24/07/2016,1,21:41,6,2,2,0,2
-2.582499,56.564655,3,17/07/2016,1,08:55,1,2,2,0,1
-2.610075,56.550174,3,26/07/2016,3,08:41,1,1,1,0,1
-2.800406,56.689654,2,28/07/2016,5,21:45,1,1,1,0,2
-2.484326,56.743741,3,09/08/2016,3,16:20,1,1,1,0,2
-2.612666,56.556478,3,22/08/2016,2,08:50,1,1,1,0,1
-2.590409,56.559532,1,15/09/2016,5,15:26,1,1,1,0,1
-2.552058,56.636388,2,07/09/2016,4,16:16,1,1,1,0,2
-2.648213,56.540296,3,16/09/2016,6,16:20,1,1,1,0,2
-2.594324,56.572684,3,24/08/2016,4,14:10,1,1,1,0,1
-2.668941,56.623911,3,14/10/2016,6,19:45,6,2,2,0,2
-2.810595,56.48585,2,01/10/2016,7,14:18,1,1,1,0,1
-2.705511,56.510138,3,15/10/2016,7,17:10,1,1,1,0,1
-2.743465,56.641852,3,16/11/2016,4,21:00,6,1,2,0,2
-2.619857,56.54461,3,24/09/2016,7,19:15,4,2,2,0,2
-2.584372,56.570063,3,03/11/2016,5,08:50,1,2,2,0,1
-2.807712,56.579406,3,20/11/2016,1,15:50,1,1,2,0,2
-2.5964,56.564948,3,21/11/2016,2,15:00,1,2,2,0,1
