Longitude,Latitude,Accident_Severity,Date,Day_of_Week,Time,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Carriageway_Hazards,Urban_or_Rural_Area
-5.599967,57.686727,3,18/07/2016,2,19:30,1,2,2,0,2
-5.309977,57.588618,3,27/09/2016,3,10:12,1,5,2,0,2
-6.166757,57.293492,3,13/01/2016,4,10:00,1,1,4,0,2
-6.093758,57.308897,3,29/01/2016,6,23:00,6,6,3,0,2
-6.089206,57.271384,3,02/02/2016,3,07:30,6,5,2,0,2
-5.509685,57.271499,3,04/02/2016,5,17:00,6,2,2,0,2
-6.202102,57.420663,3,18/02/2016,5,08:30,1,1,4,0,2
-6.117571,57.313208,3,01/03/2016,3,15:30,1,2,2,0,2
-6.061132,57.272701,3,27/03/2016,1,17:45,1,1,2,0,2
-5.138814,57.538646,3,31/03/2016,5,21:00,6,1,2,7,2
-5.668865,56.878031,3,02/04/2016,7,15:45,1,1,1,0,2
-6.060946,57.272671,3,16/04/2016,7,04:30,6,8,4,0,2
-5.705173,57.280789,3,30/04/2016,7,21:00,1,1,1,0,2
-5.435764,56.870561,3,04/05/2016,4,16:45,1,2,2,0,2
-5.941349,56.578208,3,06/05/2016,6,07:35,1,1,1,0,2
-5.18038,57.156664,2,07/05/2016,7,16:50,1,1,1,0,2
-5.201738,56.746241,3,12/05/2016,5,14:30,1,1,1,0,2
-5.930228,57.247968,1,13/05/2016,6,10:05,1,1,1,0,2
-5.186412,56.70051,3,15/05/2016,1,15:15,1,1,1,0,2
-5.157767,56.67945,3,30/05/2016,2,15:40,1,1,1,0,2
-5.414103,56.86435,3,05/06/2016,1,20:42,1,2,2,0,2
-6.155063,57.297018,1,06/06/2016,2,01:15,6,1,1,2,2
-5.673975,57.281894,3,16/06/2016,5,14:00,1,1,1,0,2
-5.232499,56.722488,3,21/06/2016,3,10:44,1,1,1,0,2
-5.597818,57.527555,3,26/06/2016,1,18:58,1,2,2,0,2
-5.752143,57.434695,3,27/06/2016,2,12:55,1,1,1,0,2
-6.192806,57.412843,3,01/07/2016,6,13:00,1,1,1,0,2
-5.197537,57.153261,3,01/07/2016,6,21:05,1,1,2,0,2
-6.08584,57.262583,2,09/07/2016,7,15:12,1,2,2,0,2
-5.610308,57.407106,3,02/07/2016,7,10:30,1,1,1,0,2
-5.642958,57.287374,2,16/07/2016,7,15:00,1,2,2,0,2
-6.195542,57.295088,3,18/07/2016,2,13:14,1,1,1,0,2
-6.07151,57.161685,3,18/07/2016,2,16:03,1,2,2,0,2
-5.933274,57.249464,3,19/07/2016,3,15:45,1,1,1,0,2
-5.803727,57.446597,3,22/07/2016,6,01:45,6,2,2,0,2
-5.828344,56.992253,2,26/07/2016,3,15:50,1,1,1,0,2
-5.756022,56.761759,3,26/07/2016,3,14:25,1,2,2,0,2
-5.382078,57.564917,3,29/07/2016,6,14:50,1,1,1,0,2
-5.397446,57.206228,3,31/07/2016,1,17:37,1,5,2,0,2
-5.856117,57.107976,3,07/08/2016,1,21:00,6,2,2,0,2
-6.174664,57.609642,2,09/08/2016,3,13:00,1,1,1,0,2
-5.189388,57.153703,3,16/08/2016,3,07:40,1,1,1,0,2
-5.753153,56.970571,3,02/09/2016,6,09:30,1,1,2,7,2
-5.232844,56.723072,3,02/09/2016,6,15:00,1,1,1,0,2
-6.184598,57.46104,3,06/09/2016,3,11:30,1,1,1,0,2
-5.520249,57.278719,3,08/09/2016,5,12:34,1,1,1,0,2
-6.200897,57.400568,2,22/10/2016,7,19:00,6,1,1,0,2
-6.200963,57.413057,3,25/10/2016,3,13:26,1,1,1,0,2
-5.228703,56.703394,3,03/11/2016,5,13:45,1,1,2,0,2
-6.202689,57.396434,3,07/11/2016,2,08:19,1,1,4,0,2
-5.680013,57.281349,3,17/11/2016,5,13:04,1,3,1,0,2
-5.94536,56.691726,3,23/11/2016,4,13:45,1,1,1,0,2
-6.201324,57.413296,3,02/12/2016,6,18:30,4,1,1,0,2
-5.863915,57.232494,3,21/12/2016,4,11:00,1,6,3,0,2
-6.090347,57.303028,3,21/12/2016,4,14:29,1,6,3,0,2
-5.759511,57.267314,3,25/12/2016,1,18:15,6,2,2,0,2
-5.303406,56.540785,3,02/09/2016,6,11:50,1,1,2,0,2
-5.37936,56.572472,3,07/08/2016,1,12:00,1,2,2,0,2
-5.353779,56.606698,3,20/05/2016,6,11:15,1,2,2,0,2
-6.156356,56.592997,2,15/10/2016,7,14:10,1,1,2,0,2
-5.305352,56.534926,3,21/05/2016,7,12:15,1,1,2,0,2
-5.304123,56.535758,3,27/03/2016,1,23:30,6,2,2,7,2
-6.020831,56.593879,3,28/04/2016,5,13:05,1,6,3,0,2
-5.308368,56.530332,3,29/09/2016,5,11:15,1,2,2,0,2
