Longitude,Latitude,Accident_Severity,Date,Day_of_Week,Time,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Carriageway_Hazards,Urban_or_Rural_Area
-4.044421,52.543917,2,19/07/2016,3,11:25,1,1,1,0,2
-4.007991,52.549378,2,24/07/2016,1,14:09,1,2,2,0,2
-4.050357,52.544075,3,13/09/2016,3,02:48,4,1,1,0,2
-3.99104,52.553207,3,25/10/2016,3,17:28,1,1,2,0,2
-4.033181,51.712812,3,03/01/2016,1,17:58,4,1,2,0,2
-3.60807,51.747357,3,03/01/2016,1,20:29,4,4,2,0,2
-4.03321,51.712811,3,09/01/2016,7,00:04,4,2,2,0,2
-3.696893,51.712378,2,15/01/2016,6,21:46,4,1,2,0,2
-3.863742,51.702628,3,20/01/2016,4,22:25,4,1,4,0,2
-3.617958,51.749631,3,26/01/2016,3,20:15,6,5,2,0,2
-3.770853,51.682853,3,01/01/2016,6,04:00,4,1,1,0,2
-3.784617,51.766111,3,22/01/2016,6,20:54,4,1,1,2,1
-4.039392,51.682902,3,05/02/2016,6,18:00,7,1,2,0,2
-3.807745,51.743924,3,09/02/2016,3,18:49,1,5,2,0,2
-3.830186,51.721428,3,09/02/2016,3,22:05,4,1,2,0,2
-3.629128,51.744414,3,10/02/2016,4,19:50,4,1,2,0,2
-3.867881,51.739162,3,14/02/2016,1,01:53,6,1,1,0,2
-3.790609,51.758592,3,14/02/2016,1,15:24,1,1,1,0,2
-3.879801,51.780319,2,21/03/2016,2,10:58,1,1,1,0,2
-3.855481,51.710133,3,10/03/2016,5,15:39,1,1,1,0,2
-3.893624,51.695622,3,24/03/2016,5,12:49,1,2,2,0,1
-3.836017,51.71525,3,26/03/2016,7,13:21,1,1,1,0,1
-4.045188,51.715841,3,21/03/2016,2,13:15,1,1,1,0,2
-3.853221,51.719988,3,01/04/2016,6,17:14,1,2,2,0,1
-3.82308,51.736601,2,19/02/2016,6,15:09,1,2,2,0,2
-3.86286,51.732245,3,14/04/2016,5,17:43,1,1,2,0,1
-3.83678,51.726937,3,13/04/2016,4,16:00,1,1,1,0,2
-3.88424,51.69125,3,12/04/2016,3,15:39,1,1,1,0,2
-4.011893,51.694357,2,20/04/2016,4,18:20,1,1,1,0,2
-3.71323,51.7084,1,23/04/2016,7,18:45,1,1,1,0,2
-3.76437,51.684299,3,03/05/2016,3,06:43,1,1,1,0,2
-3.86585,51.736973,2,14/05/2016,7,14:17,1,1,1,0,2
-3.613046,51.748377,3,30/04/2016,7,17:31,1,1,1,0,2
-4.015058,51.748968,2,14/05/2016,7,11:08,1,1,1,0,2
-3.714949,51.766447,2,21/05/2016,7,16:48,1,2,2,0,2
-4.029986,51.716788,3,18/05/2016,4,19:13,1,1,1,0,2
-3.883713,51.792081,3,26/05/2016,5,10:19,1,1,1,0,2
-4.03849,51.713061,3,01/06/2016,4,18:15,1,1,1,0,2
-3.823955,51.73567,3,08/06/2016,4,11:04,1,1,1,0,2
-3.826871,51.712083,3,12/06/2016,1,18:42,1,1,1,0,1
-3.868955,51.807972,3,11/06/2016,7,11:23,1,2,2,0,2
-4.038394,51.693864,3,09/06/2016,5,11:46,1,1,1,0,2
-3.85945,51.714072,3,08/06/2016,4,15:36,1,1,1,0,1
-3.614801,51.745592,3,18/06/2016,7,19:28,1,1,1,0,2
-3.801526,51.780222,2,26/06/2016,1,21:02,1,1,1,0,2
-3.87841,51.751709,2,21/06/2016,3,23:43,6,1,1,0,2
-3.910075,51.683899,3,07/07/2016,5,15:44,1,1,1,0,1
-3.641109,51.73726,3,05/08/2016,6,15:48,1,1,1,0,2
-3.907281,51.706543,3,01/08/2016,2,21:14,4,2,1,0,2
-3.862482,51.703673,1,04/07/2016,2,22:13,6,1,1,0,2
-3.611099,51.767754,3,22/08/2016,2,16:08,1,2,2,0,2
-3.909048,51.682864,3,25/08/2016,5,12:59,1,1,1,0,2
-4.01207,51.685955,2,30/08/2016,3,18:46,1,1,1,0,2
-3.900677,51.687478,3,06/09/2016,3,20:50,6,1,1,0,2
-4.011957,51.692872,3,15/09/2016,5,11:14,1,1,1,0,2
-4.033949,51.711225,3,09/09/2016,6,22:56,4,2,2,0,2
-3.866036,51.708446,3,23/09/2016,6,19:35,4,1,1,0,1
-3.873426,51.694273,3,26/09/2016,2,14:26,1,2,2,0,2
-4.039305,51.683219,3,06/10/2016,5,08:52,1,1,1,0,2
-3.78856,51.761735,3,14/10/2016,6,18:57,6,1,1,0,1
-3.925058,51.726063,3,14/10/2016,6,19:55,6,1,1,2,2
-3.852322,51.721037,2,16/10/2016,1,21:47,4,1,2,0,1
-3.927698,51.683269,3,22/10/2016,7,14:16,1,1,1,0,1
-3.632574,51.741156,3,26/10/2016,4,17:23,1,1,1,0,2
-3.911237,51.681587,3,14/11/2016,2,14:24,1,2,2,0,1
-3.761523,51.697408,3,17/11/2016,5,10:41,1,5,2,0,2
-3.895673,51.698592,3,25/11/2016,6,16:43,1,1,1,0,1
-3.911008,51.689558,3,26/11/2016,7,06:43,6,1,1,0,2
-3.846559,51.724203,3,26/11/2016,7,13:38,1,1,1,2,1
-3.735803,51.694985,3,25/11/2016,6,06:04,6,1,1,0,2
-3.75181,51.684964,3,26/11/2016,7,14:34,1,1,1,0,2
-3.86624,51.737641,3,17/12/2016,7,18:07,4,1,2,0,2
-3.872366,51.806272,2,15/12/2016,5,17:44,4,1,2,0,2
-3.846445,51.724249,3,26/12/2016,2,15:29,1,1,1,2,1
-3.884844,51.693947,3,27/12/2016,3,02:15,4,1,1,0,2
-3.982831,51.708457,3,23/12/2016,6,01:22,6,2,2,0,2
-3.715584,51.765997,3,26/12/2016,2,21:35,4,1,1,0,2
-3.96132,52.017561,1,02/01/2016,7,04:15,6,2,2,0,2
-4.184502,51.742865,2,09/01/2016,7,19:30,6,2,2,0,2
-4.020606,51.780419,2,20/01/2016,4,13:45,1,8,1,0,1
-3.810089,51.993456,2,02/02/2016,3,22:20,6,1,2,0,2
-4.063139,51.711696,3,08/01/2016,6,16:01,1,1,1,0,2
-4.126699,51.721174,3,18/01/2016,2,18:00,4,1,1,0,2
-3.990311,51.885877,3,02/01/2016,7,13:50,1,2,2,0,2
-4.121181,51.801218,3,03/01/2016,1,19:38,4,2,2,7,2
-4.299747,51.86126,3,04/01/2016,2,12:30,1,8,2,0,1
-4.154734,51.829564,3,15/01/2016,6,06:57,6,2,2,0,2
-4.012654,51.793954,3,23/01/2016,7,11:00,1,1,2,0,1
-3.988124,51.790145,3,27/01/2016,4,12:53,1,1,1,2,1
-3.740646,51.994413,3,11/01/2016,2,20:58,6,2,2,0,2
-4.113481,51.683013,2,11/02/2016,5,23:24,4,2,2,0,1
-4.308714,51.846336,3,14/01/2016,5,14:50,1,9,1,0,1
-4.086149,51.702117,3,19/01/2016,3,16:10,1,1,1,0,2
-4.11291,51.78563,3,15/01/2016,6,17:00,1,1,2,0,2
-4.050984,51.817302,3,15/01/2016,6,16:03,1,1,1,2,2
-4.115245,51.785948,3,18/01/2016,2,08:20,1,2,2,0,2
-4.147662,51.784641,1,02/03/2016,4,21:20,6,2,2,0,2
-4.127635,51.688693,3,25/02/2016,5,17:13,1,1,1,0,1
-4.057909,51.708101,3,12/02/2016,6,08:55,1,1,1,0,2
-4.096321,51.790603,3,25/02/2016,5,00:49,4,1,1,0,2
-3.953422,51.832722,3,09/02/2016,3,08:20,1,1,4,0,2
-4.308702,51.854609,3,15/02/2016,2,12:25,1,1,1,0,1
-3.911677,51.803194,3,06/02/2016,7,19:15,4,1,2,0,2
-3.84821,51.847281,2,05/01/2016,3,03:46,4,1,1,2,2
-3.741891,51.996463,2,28/01/2016,5,19:00,6,2,2,0,2
-3.796696,51.993661,3,06/01/2016,4,12:47,1,1,2,0,2
-3.840519,51.86161,3,04/02/2016,5,00:01,6,7,2,2,2
-4.290399,52.028706,3,02/02/2016,3,16:30,1,1,1,0,2
-4.159693,51.687388,3,20/01/2016,4,15:50,1,1,1,0,1
-4.007233,51.871022,3,04/02/2016,5,15:57,1,1,1,2,2
