Longitude,Latitude,Accident_Severity,Date,Day_of_Week,Time,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Carriageway_Hazards,Urban_or_Rural_Area
-5.463698,56.06719,3,01/01/2016,6,06:50,6,8,4,0,2
-5.446431,55.959459,3,03/02/2016,4,07:20,6,1,4,0,2
-5.71159,55.499146,3,01/07/2016,6,16:00,1,2,2,0,2
-5.365514,56.022798,3,03/12/2016,7,17:45,6,1,1,0,2
-5.634566,55.876323,3,03/06/2016,6,15:10,1,1,1,0,2
-5.449401,56.051092,3,10/02/2016,4,11:00,1,1,1,0,2
-5.368041,56.019187,3,07/09/2016,4,11:00,1,1,2,0,2
-5.673008,55.443803,2,11/02/2016,5,06:05,6,9,4,0,2
-5.433181,56.037438,3,08/09/2016,5,14:00,1,5,2,0,2
-5.461043,55.686985,2,11/05/2016,4,12:05,1,1,1,0,2
-5.699933,55.468799,3,09/12/2016,6,23:40,6,1,1,0,2
-5.686712,55.467571,3,15/02/2016,2,23:30,6,1,1,0,2
-5.410581,55.877183,3,15/08/2016,2,12:00,1,1,1,0,2
-5.673117,55.449735,3,12/11/2016,7,10:40,1,1,2,0,2
-5.711274,55.481494,2,17/04/2016,1,13:38,1,1,1,0,2
-5.457359,55.828943,3,15/05/2016,1,14:55,1,1,1,0,2
-5.347014,56.050345,3,15/12/2016,5,10:20,1,1,2,0,2
-5.685836,55.416323,3,14/01/2016,5,20:27,6,3,3,2,2
-5.432711,55.952946,3,15/07/2016,6,21:00,6,5,2,0,2
-5.385554,56.016072,3,25/02/2016,5,15:00,1,1,1,0,2
-5.619194,55.797802,2,22/08/2016,2,18:20,1,1,1,0,2
-5.415708,56.012192,3,19/07/2016,3,04:30,6,1,1,0,2
-5.21294,55.852028,2,19/10/2016,4,16:25,1,1,1,0,2
-5.695653,55.586098,2,23/06/2016,5,13:00,1,1,1,0,2
-5.605155,55.424324,3,28/02/2016,1,21:00,4,1,1,0,2
-5.440951,55.862347,3,23/11/2016,4,05:50,6,1,1,0,2
-5.53342,55.766168,3,28/04/2016,5,08:22,1,3,2,0,2
-5.249134,55.892145,2,07/01/2016,5,17:00,6,2,2,0,2
-5.576458,55.430265,3,30/08/2016,3,17:00,1,1,1,0,2
-5.166427,55.933616,3,25/07/2016,2,13:37,1,2,2,0,2
-5.102939,56.000804,2,26/07/2016,3,15:37,1,2,2,0,2
-5.602909,55.429344,3,30/09/2016,6,08:24,1,1,2,0,2
-5.346223,56.049369,3,25/08/2016,5,14:29,1,1,1,0,2
-5.440461,56.039834,3,30/09/2016,6,15:15,1,2,2,0,2
-5.166215,55.584215,3,03/11/2016,5,08:10,1,2,2,0,2
-5.143744,55.597362,3,16/07/2016,7,18:15,1,2,2,0,2
-5.132423,55.544987,3,19/10/2016,4,14:18,1,1,1,0,2
-5.316999,55.509978,3,17/09/2016,7,13:40,1,1,1,0,2
-5.143124,55.523711,3,24/02/2016,4,07:50,1,1,4,0,2
