Longitude,Latitude,Accident_Severity,Date,Day_of_Week,Time,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Carriageway_Hazards,Urban_or_Rural_Area
-4.347207,53.343218,3,09/01/2016,7,13:12,1,1,2,0,2
-4.355563,53.310299,3,11/01/2016,2,08:10,1,8,4,0,2
-4.626772,53.304533,2,14/01/2016,5,16:35,4,2,2,0,1
-4.402135,52.975512,3,01/03/2016,3,16:29,1,1,2,0,2
-4.608809,53.301672,3,11/03/2016,6,08:42,1,1,1,0,2
-4.501041,53.273969,3,12/03/2016,7,19:45,6,1,1,0,2
-4.424291,52.965252,3,24/03/2016,5,16:25,1,2,2,0,2
-4.445696,53.292156,1,05/04/2016,3,07:25,1,8,2,0,2
-4.467689,53.408292,3,04/04/2016,2,13:46,1,1,1,0,2
-4.636988,53.311006,3,15/04/2016,6,11:50,1,1,1,0,1
-4.637533,52.883665,3,24/04/2016,1,17:40,1,1,1,0,2
-4.393865,52.938831,2,28/04/2016,5,15:00,1,2,2,0,2
-4.355511,53.310174,3,02/05/2016,2,09:43,1,2,2,0,2
-4.478937,53.266302,3,13/05/2016,6,13:15,1,1,1,0,2
-4.377361,52.902747,2,21/05/2016,7,12:14,1,1,1,0,2
-4.412318,52.891962,3,06/06/2016,2,18:55,1,8,2,0,2
-4.555216,53.281424,3,07/06/2016,3,16:36,1,1,1,0,2
-4.404865,53.20507,3,13/06/2016,2,04:55,1,1,1,0,2
-4.479655,53.231536,3,03/07/2016,1,20:10,1,1,2,0,2
-4.617342,53.301782,2,06/07/2016,4,22:50,4,2,2,0,1
-4.481277,53.270453,2,08/07/2016,6,17:40,1,1,1,0,2
-4.394979,52.896737,3,16/07/2016,7,08:25,1,2,2,0,2
-4.457718,52.928652,3,18/07/2016,2,17:00,1,1,1,0,2
-4.471215,52.864665,3,19/07/2016,3,07:50,1,1,1,0,2
-4.384699,52.927488,1,20/07/2016,4,15:40,1,1,1,0,2
-4.540145,53.354325,3,28/07/2016,5,09:51,1,2,2,0,2
-4.467383,52.87202,3,07/08/2016,1,02:35,6,1,1,3,2
-4.501278,53.224592,2,10/08/2016,4,15:15,1,1,1,0,2
-4.407029,52.893373,2,10/08/2016,4,22:15,6,1,2,0,2
-4.641678,53.285339,2,19/08/2016,6,22:24,6,5,2,0,2
-4.458969,52.878255,3,23/08/2016,3,17:25,1,1,1,7,2
-4.493138,53.228125,2,13/09/2016,3,11:59,1,1,1,0,2
-4.402305,53.198379,3,13/09/2016,3,18:15,1,1,1,0,2
-4.496528,52.864316,3,14/09/2016,4,11:10,1,1,2,0,2
-4.587964,53.263517,3,28/09/2016,4,14:50,1,1,1,7,2
-4.478018,53.399356,3,28/09/2016,4,23:45,6,2,2,0,2
-4.478095,52.859981,3,01/10/2016,7,15:05,1,1,2,0,2
-4.52839,53.324319,2,09/10/2016,1,13:10,1,1,1,0,2
-4.383123,53.252567,3,10/10/2016,2,20:55,6,1,1,0,2
-4.632812,53.308527,2,14/10/2016,6,23:06,4,1,1,0,1
-4.486352,52.941445,3,18/10/2016,3,17:00,1,1,1,0,2
-4.506742,53.286806,2,22/10/2016,7,22:30,7,1,1,0,2
-4.608975,53.274613,2,10/11/2016,5,23:15,4,1,1,0,2
-4.637828,53.308065,3,19/11/2016,7,17:40,7,2,2,0,1
-4.434135,52.885187,3,21/11/2016,2,18:10,4,5,2,0,2
-4.402139,52.902536,3,23/11/2016,4,15:08,1,1,1,0,2
-4.419113,52.888767,3,27/11/2016,1,17:06,4,1,1,0,2
-4.4036,52.899098,3,28/11/2016,2,08:04,1,1,1,0,2
-4.635115,53.313502,3,26/11/2016,7,13:30,1,1,1,0,1
-4.395292,52.954942,1,01/12/2016,5,11:40,1,1,2,0,2
-4.490791,53.229263,2,02/12/2016,6,09:50,1,1,2,0,2
-4.367319,53.395696,3,28/12/2016,4,13:10,1,1,1,0,2
