Longitude,Latitude,Accident_Severity,Date,Day_of_Week,Time,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Carriageway_Hazards,Urban_or_Rural_Area
-3.584445,54.546267,3,11/02/2016,5,12:10,1,1,1,0,1
-3.591109,54.547878,3,29/01/2016,6,14:30,1,9,2,0,1
-3.579212,54.562083,3,05/01/2016,3,17:46,4,1,2,0,2
-3.585636,54.543088,3,06/01/2016,4,15:15,1,2,2,0,1
-3.58943,54.53849,3,23/02/2016,3,17:15,1,1,1,0,2
-3.587567,54.546226,3,11/01/2016,2,07:55,4,1,2,0,1
-3.58861,54.548414,3,15/01/2016,6,09:07,1,8,2,0,1
-3.582363,54.568351,3,02/03/2016,4,20:56,5,4,2,0,1
-3.586152,54.548824,3,16/03/2016,4,08:00,1,1,1,0,1
-3.583679,54.544839,3,24/03/2016,5,22:00,4,1,1,0,1
-3.589436,54.54062,3,21/03/2016,2,10:30,1,1,1,0,1
-3.578824,54.553252,3,03/04/2016,1,15:30,1,1,1,0,1
-3.587502,54.550541,2,01/04/2016,6,14:48,1,1,1,0,1
-3.587935,54.552926,3,13/04/2016,4,17:40,1,1,1,0,1
-3.590717,54.530626,3,23/04/2016,7,16:20,1,1,1,0,1
-3.595575,54.531578,3,30/04/2016,7,16:12,5,1,1,0,1
-3.586267,54.55178,3,26/04/2016,3,08:30,1,1,1,0,1
-3.582992,54.521101,1,04/05/2016,4,07:30,1,1,1,0,2
-3.584724,54.548286,3,19/05/2016,5,14:26,1,2,2,0,1
-3.586267,54.55178,3,17/05/2016,3,19:54,1,2,2,0,1
-3.586673,54.537537,2,25/06/2016,7,02:23,4,9,1,0,1
-3.579201,54.554982,3,14/07/2016,5,10:20,1,1,1,0,1
-3.590888,54.546551,3,11/07/2016,2,12:15,1,1,1,0,1
-3.583579,54.54786,3,31/01/2016,1,12:20,1,8,2,0,1
-3.587567,54.546226,2,01/08/2016,2,11:26,1,1,1,0,1
-3.585037,54.529631,3,29/07/2016,6,19:07,1,9,1,2,2
-3.593984,54.506207,3,29/07/2016,6,01:25,6,9,1,0,2
-3.587567,54.546226,3,06/08/2016,7,12:40,1,1,1,0,1
-3.590374,54.536518,3,31/07/2016,1,08:27,1,9,1,0,2
-3.581625,54.494532,3,17/08/2016,4,17:00,1,1,1,0,2
-3.58415,54.489169,3,13/09/2016,3,15:30,1,1,1,0,2
-3.581187,54.531569,3,18/09/2016,1,18:02,1,2,2,0,1
-3.58959,54.541409,2,20/09/2016,3,15:50,1,1,1,0,1
-3.58565,54.484035,2,22/09/2016,5,12:40,1,1,1,0,2
-3.588256,54.54806,2,22/09/2016,5,13:50,1,9,1,0,1
-3.585476,54.551323,3,27/09/2016,3,08:47,1,2,2,0,1
-3.590753,54.547469,2,28/10/2016,6,12:30,1,1,1,0,1
-3.593927,54.506316,3,31/10/2016,2,11:44,1,1,2,0,2
-3.596355,54.536493,1,06/11/2016,1,14:08,1,1,1,0,1
-3.584019,54.548843,3,28/08/2016,1,18:50,1,1,1,0,1
-3.586152,54.548824,3,19/12/2016,2,17:05,4,1,1,0,1
-3.58847,54.487485,3,20/12/2016,3,18:20,4,9,2,0,2
-3.890773,55.037804,3,03/01/2016,1,10:45,1,2,2,0,2
-4.027374,54.867919,3,16/01/2016,7,14:50,1,3,3,0,2
-3.882814,54.986543,1,10/02/2016,4,15:20,1,1,2,0,2
-3.836468,54.941988,3,08/02/2016,2,19:17,6,1,2,0,2
-4.101097,54.804509,3,15/02/2016,2,13:45,1,1,1,0,2
-3.856229,54.923245,2,05/03/2016,7,16:15,1,1,1,0,2
-3.786358,54.969942,2,27/03/2016,1,13:30,1,1,1,0,2
-3.864228,54.922089,3,27/03/2016,1,22:30,6,2,2,0,2
-4.137662,55.10655,3,01/04/2016,6,16:05,1,2,2,0,2
-4.247742,54.854681,3,01/02/2016,2,11:30,1,4,1,0,2
-3.861516,55.016387,3,10/04/2016,1,15:50,1,1,1,0,2
-4.052495,54.836909,3,21/04/2016,5,08:55,1,1,1,0,2
-3.842227,54.955599,3,27/04/2016,4,12:00,1,1,1,0,2
-3.99962,54.911397,3,05/05/2016,5,09:55,1,2,2,0,2
-3.74076,54.916263,2,15/05/2016,1,15:10,1,1,1,0,2
-3.933276,55.030593,3,30/05/2016,2,14:00,1,1,1,0,2
-4.145557,55.094717,1,31/05/2016,3,15:39,1,1,1,0,2
-3.978944,54.908446,3,24/05/2016,3,18:30,1,1,1,2,2
-4.07313,54.870031,3,20/06/2016,2,15:50,1,1,1,0,2
-3.866446,55.012753,3,21/06/2016,3,13:05,1,1,1,0,2
-4.063012,54.87761,3,06/07/2016,4,11:50,1,1,1,0,2
-4.137174,55.080367,3,10/07/2016,1,11:40,1,2,2,0,2
-4.16716,55.119439,3,22/07/2016,6,16:00,1,1,2,0,2
-3.814493,54.948736,3,22/07/2016,6,09:20,1,1,1,0,2
-3.978342,54.95977,3,22/07/2016,6,15:00,1,1,1,0,2
-3.99463,54.91334,3,22/07/2016,6,14:28,1,1,1,0,2
-3.928792,54.941448,2,30/07/2016,7,15:17,1,1,1,0,2
-3.866506,54.858373,3,06/08/2016,7,00:15,6,1,1,0,2
-3.933158,54.936112,3,03/08/2016,4,15:55,1,2,2,0,2
-4.17754,55.098941,3,07/08/2016,1,18:00,1,2,2,0,2
-3.92549,54.943244,3,28/05/2016,7,14:05,1,1,1,0,2
-3.929562,54.939584,2,25/08/2016,5,15:00,1,1,1,0,2
-4.185036,54.881543,3,19/09/2016,2,16:00,1,1,1,6,2
-4.18732,54.882554,3,26/10/2016,4,21:40,4,1,1,0,2
-3.950956,54.953237,3,14/11/2016,2,10:15,1,1,2,0,2
-4.180143,54.887069,2,11/12/2016,1,06:30,6,1,1,0,2
-3.675607,55.040525,2,04/01/2016,2,15:20,1,2,2,0,2
-3.616216,55.068956,2,05/01/2016,3,13:50,1,1,2,0,1
-3.637008,54.895217,3,16/01/2016,7,17:15,6,3,3,0,2
-3.695098,54.888947,3,18/01/2016,2,16:40,6,1,2,0,2
-3.5988,55.075612,3,26/01/2016,3,08:15,4,5,2,0,1
-3.743899,54.994223,3,08/02/2016,2,08:50,1,1,2,0,2
-3.635539,55.086529,3,15/02/2016,2,09:15,1,1,1,0,1
-3.599622,55.051083,3,12/02/2016,6,14:55,1,1,1,0,2
-3.619538,55.069784,3,18/02/2016,5,16:30,1,1,2,0,1
-3.604969,55.063811,3,13/02/2016,7,07:05,4,1,1,0,1
-3.583358,55.101455,3,25/02/2016,5,14:20,1,1,1,0,2
-3.584688,55.098624,3,26/02/2016,6,00:01,1,1,1,0,2
-3.581628,55.082271,2,04/03/2016,6,18:30,1,1,1,0,2
-3.627334,55.080096,3,07/03/2016,2,15:10,1,1,1,0,1
-3.653855,55.082714,3,22/02/2016,2,13:45,1,1,1,0,2
-3.582881,55.065601,2,14/03/2016,2,16:00,1,1,1,0,1
-3.610278,55.065781,3,14/03/2016,2,13:15,1,1,1,0,1
-3.724972,55.190099,3,21/03/2016,2,17:49,1,1,1,0,2
-3.676437,55.040163,2,23/03/2016,4,22:20,6,1,2,0,2
-4.040639,55.142657,2,19/03/2016,7,11:20,1,1,1,0,2
-3.604415,55.063288,3,28/03/2016,2,21:10,4,1,1,0,1
-3.633264,55.059552,3,07/04/2016,5,07:18,1,1,2,0,2
-3.595996,55.067749,3,27/04/2016,4,15:59,1,1,1,0,1
-3.632777,55.137938,3,19/05/2016,5,09:30,1,1,1,0,2
-3.63081,55.068114,3,03/05/2016,3,17:20,1,1,1,0,1
-3.707447,55.020058,2,08/06/2016,4,17:55,1,1,1,0,2
-3.637433,55.078424,3,10/06/2016,6,08:30,1,1,1,6,1
-3.606783,55.064938,3,13/05/2016,6,11:15,1,1,1,0,1
-3.637147,55.079479,3,12/06/2016,1,00:01,4,1,2,0,1
-3.72662,55.177008,1,13/06/2016,2,11:51,1,1,1,0,2
-3.579739,55.106265,3,15/06/2016,4,11:00,1,1,1,0,2
-3.626278,55.07878,3,27/04/2016,4,17:45,1,1,1,0,1
-3.673057,55.126104,3,06/07/2016,4,16:31,1,1,1,0,2
-3.624716,55.028246,1,07/07/2016,5,23:00,6,1,1,0,2
-3.623581,55.075635,2,21/07/2016,5,23:50,4,1,1,0,1
-3.59053,55.084726,3,22/07/2016,6,18:00,1,1,1,0,2
-3.611736,55.063479,3,28/07/2016,5,21:18,1,2,2,0,1
-3.591673,55.085097,3,22/07/2016,6,18:20,1,1,1,0,2
-3.641488,54.894564,1,07/08/2016,1,14:50,1,1,1,0,2
-3.826893,55.023087,2,16/08/2016,3,18:05,1,1,1,0,2
-3.625811,55.078094,3,24/08/2016,4,15:50,1,1,1,0,1
-3.690053,55.139701,3,03/09/2016,7,16:20,1,2,2,0,2
-3.626778,55.078378,3,28/09/2016,4,17:05,1,1,2,0,1
-3.619761,55.069862,3,01/10/2016,7,20:00,4,1,1,0,1
-3.626343,55.078833,3,21/10/2016,6,14:30,1,1,1,0,1
-3.744873,55.134336,3,28/09/2016,4,18:20,1,2,2,0,2
-3.772228,54.976889,2,27/10/2016,5,09:10,1,1,1,0,2
-3.593055,55.044573,3,26/10/2016,4,15:30,1,1,2,0,2
-3.622804,54.980943,3,31/10/2016,2,22:45,4,1,2,0,2
-3.664237,55.086752,3,05/11/2016,7,19:00,6,1,2,0,2
-3.841516,55.037319,3,15/11/2016,3,18:05,6,4,1,0,2
-3.609902,55.066173,3,14/11/2016,2,13:30,1,1,2,0,1
-3.599208,55.073279,3,20/11/2016,1,00:01,4,1,2,0,1
-3.589996,55.084679,3,14/11/2016,2,14:26,6,1,1,0,2
