Longitude,Latitude,Accident_Severity,Date,Day_of_Week,Time,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Carriageway_Hazards,Urban_or_Rural_Area
-4.485599,50.873466,3,10/01/2016,1,12:30,1,2,4,0,2
-4.521632,50.827343,3,12/02/2016,6,16:15,1,1,1,0,2
-4.466685,50.820288,2,16/02/2016,3,14:30,1,1,1,0,2
-4.543642,50.835913,3,19/04/2016,3,06:00,1,1,1,0,2
-4.508333,50.846815,3,22/04/2016,6,01:10,6,2,2,0,2
-4.34766,50.980358,3,06/05/2016,6,16:45,1,1,1,0,2
-4.411285,50.984386,3,15/05/2016,1,12:42,1,1,1,0,2
-4.511548,50.806936,2,30/05/2016,2,13:11,1,1,1,0,2
-4.403417,50.807327,3,18/06/2016,7,20:55,1,1,1,0,2
-4.460598,50.954702,3,24/05/2016,3,16:19,1,1,1,0,2
-4.499809,50.857171,2,24/05/2016,3,12:35,1,1,1,0,2
-4.519633,50.830561,3,07/06/2016,3,08:30,1,1,1,0,2
-4.395203,50.887014,3,05/07/2016,3,08:18,1,1,1,0,2
-4.528379,50.815531,3,22/07/2016,6,23:20,6,2,2,0,2
-4.352675,50.813074,3,21/07/2016,5,20:35,1,1,1,0,2
-4.543996,50.828072,3,13/07/2016,4,16:39,1,1,1,0,2
-4.448172,50.929347,3,27/08/2016,7,15:55,1,1,1,0,2
-4.549704,50.839505,2,15/08/2016,2,03:19,6,1,1,0,2
-4.401248,51.000557,2,23/07/2016,7,21:36,6,2,2,0,2
-4.518858,50.933186,2,24/07/2016,1,08:49,1,2,2,0,2
-4.441424,50.993932,3,15/09/2016,5,13:46,1,1,1,0,2
-4.464797,50.815975,2,02/08/2016,3,11:14,1,7,2,0,2
-4.528503,50.815726,2,02/10/2016,1,18:15,1,1,1,0,2
-4.434062,50.822845,2,04/08/2016,5,17:45,1,1,1,0,2
-4.352393,50.807728,2,13/10/2016,5,13:45,1,1,1,0,2
-4.523501,50.841712,2,28/10/2016,6,17:19,1,1,1,0,2
-4.545438,50.827159,3,15/11/2016,3,19:30,4,2,2,0,2
-4.425208,50.986337,3,17/11/2016,5,10:00,1,5,2,0,2
-4.541163,50.824284,2,16/11/2016,4,08:43,1,1,2,0,2
-4.528128,50.840316,3,26/10/2016,4,09:00,1,1,1,0,2
-4.517525,50.830976,2,30/11/2016,4,07:48,1,1,2,0,2
-4.391347,50.876129,3,11/11/2016,6,21:28,6,2,2,0,2
-4.363762,50.812778,3,09/11/2016,4,10:07,1,4,2,0,2
-4.471553,50.865112,3,15/06/2016,4,19:55,6,2,2,0,2
-4.345724,50.813736,2,30/11/2016,4,13:01,1,1,2,0,2
-4.39201,50.983352,3,14/12/2016,4,19:34,6,1,2,0,2
-4.510078,50.842271,3,23/12/2016,6,21:18,6,4,2,0,2
-4.471538,50.865103,2,04/01/2016,2,23:54,6,2,2,0,2
-4.484441,50.874957,3,11/03/2016,6,10:23,1,1,1,0,2
-4.475126,50.883457,3,22/01/2016,6,15:45,1,1,1,0,2
-4.528566,50.815581,3,15/01/2016,6,07:45,1,5,2,0,2
-4.516848,50.83054,3,05/02/2016,6,11:40,1,2,2,0,2
-4.415533,50.821773,2,08/01/2016,6,20:30,6,2,2,0,2
-4.354413,50.813462,3,22/01/2016,6,15:37,1,1,1,0,2
-4.867244,51.669272,3,31/01/2016,1,13:05,1,1,2,0,2
-4.91857,51.630681,3,02/01/2016,7,17:45,6,2,2,0,2
-4.901823,51.626419,2,22/01/2016,6,15:00,1,2,2,0,2
-4.708194,51.675028,3,24/01/2016,1,09:45,1,9,2,0,2
-4.905258,51.675622,3,24/03/2016,5,11:00,1,2,2,0,2
-4.701217,51.672041,3,28/03/2016,2,14:30,1,1,1,6,2
-4.905258,51.675622,3,22/04/2016,6,17:00,1,2,2,0,2
-4.794096,51.658175,3,03/05/2016,3,10:30,1,1,1,0,2
-4.721552,51.671031,2,20/06/2016,2,11:09,1,1,2,0,2
-4.713187,51.67869,3,12/07/2016,3,10:30,1,1,1,2,2
-4.754863,51.659821,3,07/06/2016,3,17:30,1,1,1,0,2
-4.722656,51.674963,3,12/05/2016,5,08:25,1,2,2,0,2
-4.700506,51.672237,3,07/06/2016,3,13:00,1,1,1,0,2
-4.70775,51.674858,3,23/07/2016,7,11:00,1,1,1,0,2
-4.723622,51.669364,3,30/07/2016,7,12:17,1,1,1,0,2
-5.087743,51.680767,3,18/06/2016,7,12:30,1,1,1,0,2
-4.713519,51.679402,3,31/05/2016,3,11:42,1,1,1,0,2
-4.93646,51.657037,1,13/08/2016,7,15:30,1,1,1,0,2
-4.7005,51.672147,3,19/07/2016,3,09:05,1,1,1,0,2
-4.918858,51.680141,3,01/08/2016,2,15:30,1,5,2,0,2
-4.705524,51.67392,3,26/08/2016,6,16:43,1,1,1,0,2
-4.721269,51.671128,2,23/07/2016,7,16:00,1,1,1,0,2
-4.924922,51.659754,3,01/08/2016,2,08:20,1,2,2,0,2
-4.755934,51.656019,3,03/09/2016,7,19:30,1,2,2,0,2
-4.776937,51.663708,3,10/07/2016,1,00:20,6,2,2,0,2
-4.72265,51.674873,3,02/08/2016,3,08:05,1,2,2,0,2
-4.836255,51.680278,2,10/07/2016,1,23:54,6,2,2,0,2
-4.784213,51.664435,3,09/11/2016,4,14:05,1,1,2,0,2
-4.950876,51.667468,2,20/10/2016,5,17:40,1,1,1,0,2
-4.796958,51.645965,3,14/10/2016,6,09:08,1,1,1,0,2
-4.807774,51.678264,2,15/10/2016,7,11:09,1,8,2,0,2
-4.701672,51.669962,3,17/11/2016,5,12:55,1,4,1,0,2
-4.814618,51.669646,2,22/11/2016,3,09:50,1,5,2,0,2
-4.876068,51.660152,3,22/11/2016,3,10:17,1,2,2,0,2
-4.917592,51.678464,2,24/11/2016,5,08:10,1,1,1,0,2
