Longitude,Latitude,Accident_Severity,Date,Day_of_Week,Time,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Carriageway_Hazards,Urban_or_Rural_Area
-2.92208,54.886732,3,02/01/2016,7,14:49,6,2,2,0,1
-2.939629,54.891244,3,02/01/2016,7,15:30,4,1,1,0,1
-3.55599,54.628895,3,01/02/2016,2,16:00,4,5,2,0,1
-3.360369,54.760771,3,11/02/2016,5,18:21,6,1,2,0,2
-2.937505,54.901829,3,12/02/2016,6,21:28,4,1,1,0,1
-2.932421,54.896422,3,08/02/2016,2,13:50,1,1,1,0,1
-2.937346,54.906368,3,27/01/2016,4,07:35,1,2,2,0,1
-2.880586,54.355551,2,30/01/2016,7,18:09,1,8,2,0,2
-3.584445,54.546267,3,11/02/2016,5,12:10,1,1,1,0,1
-3.521716,54.472139,3,15/02/2016,2,06:30,4,8,2,0,2
-3.591109,54.547878,3,29/01/2016,6,14:30,1,9,2,0,1
-3.324071,54.764804,3,11/02/2016,5,19:00,4,1,1,2,2
-3.553315,54.536694,3,13/02/2016,7,19:45,4,1,1,0,1
-2.926636,54.888279,3,16/02/2016,3,22:09,4,2,2,0,1
-2.919167,54.872456,3,07/02/2016,1,20:39,4,5,2,0,1
-2.928773,54.882232,3,14/02/2016,1,15:04,1,1,1,0,1
-2.818178,54.931358,3,21/01/2016,5,03:35,6,1,1,7,2
-2.969217,54.889115,3,10/02/2016,4,09:00,1,1,1,0,1
-2.905921,54.377554,3,03/01/2016,1,11:30,1,2,2,0,2
-3.434258,54.659725,3,03/01/2016,1,06:40,4,2,2,0,2
-2.82799,54.903056,3,13/02/2016,7,17:30,4,3,2,0,2
-3.096384,54.195965,2,06/01/2016,4,17:40,1,1,1,0,1
-3.543934,54.503567,2,05/01/2016,3,22:55,5,1,1,0,2
-3.535694,54.493048,3,17/02/2016,4,10:15,5,5,2,0,2
-3.558959,54.520946,3,10/01/2016,1,00:30,6,1,2,0,2
-3.579212,54.562083,3,05/01/2016,3,17:46,4,1,2,0,2
