Longitude,Latitude,Accident_Severity,Date,Day_of_Week,Time,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Carriageway_Hazards,Urban_or_Rural_Area
-7.312159,57.521942,3,10/01/2016,1,13:00,1,2,2,0,2
-7.370952,57.560161,3,21/02/2016,1,01:00,6,1,1,0,2
-7.389809,57.434522,3,06/07/2016,4,12:10,1,2,2,0,2
-7.171057,57.606489,2,11/07/2016,2,21:45,1,1,1,0,2
-6.477399,57.468323,3,05/01/2016,3,15:30,1,1,1,0,2
-6.294561,57.225853,3,23/01/2016,7,18:00,6,2,2,0,2
-6.427827,57.488478,3,23/06/2016,5,18:22,1,1,1,0,2
