Longitude,Latitude,Accident_Severity,Date,Day_of_Week,Time,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Carriageway_Hazards,Urban_or_Rural_Area
-3.555239,57.324064,3,06/02/2016,7,08:00,1,8,4,0,2
-3.529507,57.649898,1,01/01/2016,6,12:00,1,1,2,0,2
-2.954722,57.2144,3,02/01/2016,7,08:30,1,2,2,0,2
-3.283619,57.664114,3,09/01/2016,7,13:00,1,1,1,0,2
-3.025613,57.488224,2,27/01/2016,4,21:00,1,1,4,0,2
-2.94996,57.065019,3,12/02/2016,6,15:23,1,3,3,0,2
-2.958642,57.450841,3,17/02/2016,4,10:45,1,1,1,0,2
-2.954551,57.664545,3,03/03/2016,5,12:03,1,1,1,0,2
-3.351784,57.359179,2,28/02/2016,1,11:00,1,1,4,0,2
-3.188378,57.634007,2,24/02/2016,4,14:05,1,1,2,0,2
-3.313448,57.659693,3,07/03/2016,2,15:40,1,1,1,0,1
-2.928011,57.682717,2,21/01/2016,5,03:50,6,9,2,0,2
-3.363945,57.631903,3,17/03/2016,5,22:45,6,2,2,0,2
-3.438743,57.560722,1,20/03/2016,1,11:10,1,1,1,0,2
-2.927705,57.516973,3,23/03/2016,4,18:46,1,1,1,0,2
-3.192218,57.490416,3,31/03/2016,5,14:25,1,1,1,0,2
-3.230482,57.626516,3,08/04/2016,6,15:45,1,1,1,0,2
-3.376741,57.713308,2,18/04/2016,2,13:40,1,4,1,0,2
-2.872291,57.578283,2,11/04/2016,2,16:45,1,1,1,0,2
-2.941685,57.531512,3,28/04/2016,5,05:55,1,1,4,0,2
-3.133485,57.460503,3,26/04/2016,3,20:40,1,3,3,0,2
-3.257486,57.569134,3,07/04/2016,5,15:40,1,2,2,0,2
-3.19169,57.494185,2,28/04/2016,5,10:30,1,1,2,0,2
-3.232738,57.171946,2,02/05/2016,2,19:20,1,1,1,0,2
-3.24681,57.557121,3,13/05/2016,6,15:45,1,1,1,0,2
-3.220372,57.045544,3,18/05/2016,4,12:55,1,1,1,0,2
-3.365415,57.248986,2,20/04/2016,4,12:40,6,1,1,0,2
-3.289451,57.604521,2,01/05/2016,1,04:00,1,1,1,0,2
