Longitude,Latitude,Accident_Severity,Date,Day_of_Week,Time,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Carriageway_Hazards,Urban_or_Rural_Area
-3.009671,56.520222,3,30/08/2016,3,12:20,1,1,1,0,2
-3.447628,56.40725,2,09/12/2016,6,19:50,4,1,2,0,1
-3.665999,56.316304,3,18/12/2016,1,09:00,1,1,2,0,2
-3.469583,56.40081,3,22/12/2016,5,16:45,4,2,2,0,1
-3.00762,56.460652,3,14/12/2016,4,18:50,4,1,1,0,1
-2.960794,56.465498,2,22/12/2016,5,14:40,1,1,2,0,1
-2.966073,56.473354,3,10/10/2016,2,11:49,1,1,1,0,1
-3.01872,56.492161,2,23/07/2016,7,21:10,1,1,1,0,1
-2.966913,56.458487,3,05/07/2016,3,12:45,1,1,1,0,1
-3.489528,56.40741,2,12/12/2016,2,16:30,6,1,2,0,1
-3.435028,56.205735,3,17/12/2016,7,06:00,6,1,1,0,2
-2.9228,56.486981,3,12/01/2016,3,13:55,1,1,2,0,1
-3.443659,56.395741,3,15/01/2016,6,16:00,1,1,1,0,1
-2.984971,56.475308,3,06/01/2016,4,16:40,4,2,2,0,1
-3.329955,56.476495,3,14/01/2016,5,14:03,1,1,2,0,2
-3.326636,56.482811,2,12/01/2016,3,04:05,6,2,2,0,2
-3.031274,56.484348,3,22/01/2016,6,00:04,6,1,2,0,2
-3.852723,56.366131,3,16/01/2016,7,14:10,1,3,3,0,2
-3.483658,56.38649,3,20/01/2016,4,07:55,1,1,3,0,2
-2.966632,56.458939,3,23/10/2016,1,19:10,4,2,2,0,1
-3.436637,56.399417,3,22/01/2016,6,07:45,4,2,2,0,1
-2.984157,56.462682,3,26/01/2016,3,15:40,1,1,2,0,1
-3.445905,56.209023,3,21/01/2016,5,21:00,6,1,1,7,2
-3.455909,56.387708,3,30/12/2016,6,15:30,1,1,1,0,1
-3.448395,56.407807,3,28/01/2016,5,15:40,1,1,1,0,1
-3.442726,56.401062,3,22/01/2016,6,10:30,1,1,1,0,1
-2.996573,56.48066,3,06/01/2016,4,17:00,4,2,2,0,1
-2.90163,56.472168,3,15/01/2016,6,13:30,1,1,1,0,1
-2.997946,56.492779,3,27/01/2016,4,16:20,4,1,2,0,1
-3.437531,56.370707,3,29/01/2016,6,08:40,1,5,2,0,2
-3.010962,56.471011,2,03/02/2016,4,19:45,4,1,1,0,1
-3.418618,56.188303,2,04/02/2016,5,09:38,1,1,2,0,2
-3.423174,56.197335,2,07/02/2016,1,04:25,4,1,2,0,2
-2.874977,56.475737,3,08/02/2016,2,19:45,4,4,2,0,1
-2.977233,56.459754,3,13/02/2016,7,12:45,1,1,1,0,1
-3.012758,56.473845,3,30/01/2016,7,13:45,1,1,2,0,1
-2.978989,56.483208,3,06/02/2016,7,09:05,1,1,1,0,1
-2.816575,56.483017,3,05/02/2016,6,14:24,1,1,1,0,1
-2.954411,56.475691,3,17/11/2016,5,10:20,1,1,1,0,1
-2.985883,56.482309,3,28/09/2016,4,12:00,1,1,1,0,1
-2.964691,56.464291,2,01/11/2016,3,14:09,1,1,1,0,1
-2.888126,56.479884,3,12/02/2016,6,18:55,4,1,1,0,2
-2.971329,56.463026,3,28/02/2016,1,03:15,4,1,1,0,1
-3.012677,56.473837,3,30/01/2016,7,10:10,1,1,2,0,1
-3.437027,56.392152,3,21/01/2016,5,16:45,1,2,2,0,1
-3.45768,56.414132,3,26/02/2016,6,09:00,1,1,1,0,1
-3.421891,56.396801,3,08/02/2016,2,18:00,4,1,1,0,1
