Longitude,Latitude,Accident_Severity,Date,Day_of_Week,Time,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Carriageway_Hazards,Urban_or_Rural_Area
-3.911944,57.783784,3,01/09/2016,5,13:52,1,2,2,0,2
-3.949169,57.525698,2,16/01/2016,7,19:30,6,5,2,0,2
-3.778491,57.322597,3,11/01/2016,2,10:00,1,4,4,0,2
-3.831726,57.581643,3,27/01/2016,4,18:45,6,5,2,0,2
-3.555239,57.324064,3,06/02/2016,7,08:00,1,8,4,0,2
-3.937627,57.568464,2,08/02/2016,2,07:18,1,9,2,0,2
-3.843987,57.56478,3,25/03/2016,6,17:50,1,1,1,7,2
-3.935343,57.570484,2,23/04/2016,7,13:22,1,1,1,0,2
-3.627918,57.31504,3,13/05/2016,6,07:30,1,9,1,0,2
-3.909534,57.577697,3,21/05/2016,7,12:55,1,5,2,0,2
-3.863921,57.585476,3,01/06/2016,4,08:45,1,1,1,0,2
-3.948319,57.539817,3,12/06/2016,1,15:03,1,1,1,0,2
-3.757067,57.415125,3,08/07/2016,6,20:00,1,1,1,0,2
-3.904635,57.146187,3,25/07/2016,2,15:10,1,1,1,0,2
-3.870612,57.58482,3,29/07/2016,6,10:00,1,1,1,0,2
-3.82933,57.188118,3,05/08/2016,6,21:15,4,1,1,0,2
-3.829587,57.568683,2,13/08/2016,7,16:54,1,1,1,0,2
-3.879352,57.587233,3,16/08/2016,3,10:28,1,8,1,0,2
-3.849889,57.171033,3,21/08/2016,1,12:47,1,1,1,0,2
-3.660472,57.301237,3,27/08/2016,7,14:13,1,1,1,0,2
-3.828937,57.54438,3,02/09/2016,6,11:30,1,8,1,0,2
-3.858173,57.166031,2,08/09/2016,5,16:45,1,2,2,0,2
-3.850124,57.582597,3,12/09/2016,2,14:38,1,1,1,0,2
-3.870905,57.583351,3,21/09/2016,4,13:10,1,1,1,0,2
-3.939447,57.125005,3,25/09/2016,1,16:00,1,1,1,0,2
-3.609246,57.352072,3,27/09/2016,3,12:22,1,1,2,0,2
-3.913938,57.292261,3,30/09/2016,6,19:50,6,9,1,0,2
-3.823219,57.215557,3,10/11/2016,5,16:57,6,1,1,0,2
-3.609281,57.352116,3,19/11/2016,7,12:25,1,1,2,0,2
-3.823317,57.215538,3,29/12/2016,5,16:30,6,1,1,0,2
-3.788069,57.480995,3,01/02/2016,2,12:30,1,5,2,0,2
-3.926668,57.301806,2,22/12/2016,5,09:28,1,3,3,0,2
-3.529507,57.649898,1,01/01/2016,6,12:00,1,1,2,0,2
-2.954722,57.2144,3,02/01/2016,7,08:30,1,2,2,0,2
-3.283619,57.664114,3,09/01/2016,7,13:00,1,1,1,0,2
-3.025613,57.488224,2,27/01/2016,4,21:00,1,1,4,0,2
-2.94996,57.065019,3,12/02/2016,6,15:23,1,3,3,0,2
-2.958642,57.450841,3,17/02/2016,4,10:45,1,1,1,0,2
-2.954551,57.664545,3,03/03/2016,5,12:03,1,1,1,0,2
-3.351784,57.359179,2,28/02/2016,1,11:00,1,1,4,0,2
-3.188378,57.634007,2,24/02/2016,4,14:05,1,1,2,0,2
-3.313448,57.659693,3,07/03/2016,2,15:40,1,1,1,0,1
-2.928011,57.682717,2,21/01/2016,5,03:50,6,9,2,0,2
-3.363945,57.631903,3,17/03/2016,5,22:45,6,2,2,0,2
-3.438743,57.560722,1,20/03/2016,1,11:10,1,1,1,0,2
-2.927705,57.516973,3,23/03/2016,4,18:46,1,1,1,0,2
-3.620432,57.611563,2,01/03/2016,3,16:00,1,1,1,0,2
-3.192218,57.490416,3,31/03/2016,5,14:25,1,1,1,0,2
-3.230482,57.626516,3,08/04/2016,6,15:45,1,1,1,0,2
-3.376741,57.713308,2,18/04/2016,2,13:40,1,4,1,0,2
-3.61312,57.61163,3,22/04/2016,6,17:20,1,1,1,0,2
-2.872291,57.578283,2,11/04/2016,2,16:45,1,1,1,0,2
-2.941685,57.531512,3,28/04/2016,5,05:55,1,1,4,0,2
-3.133485,57.460503,3,26/04/2016,3,20:40,1,3,3,0,2
-3.257486,57.569134,3,07/04/2016,5,15:40,1,2,2,0,2
-3.19169,57.494185,2,28/04/2016,5,10:30,1,1,2,0,2
-3.6281,57.607485,3,19/04/2016,3,06:45,1,1,1,0,2
-3.232738,57.171946,2,02/05/2016,2,19:20,1,1,1,0,2
-3.24681,57.557121,3,13/05/2016,6,15:45,1,1,1,0,2
-3.220372,57.045544,3,18/05/2016,4,12:55,1,1,1,0,2
-3.365415,57.248986,2,20/04/2016,4,12:40,6,1,1,0,2
-3.289451,57.604521,2,01/05/2016,1,04:00,1,1,1,0,2
-3.149513,57.101592,2,27/05/2016,6,19:30,1,1,1,2,2
-3.100279,57.081254,2,28/05/2016,7,11:05,1,1,1,0,2
-3.57049,57.619147,2,29/05/2016,1,12:00,1,1,1,0,2
-3.021055,57.53589,3,29/05/2016,1,20:31,1,1,2,0,2
-3.292054,57.720282,2,28/05/2016,7,02:35,4,1,1,0,2
-3.148091,57.592409,3,18/05/2016,4,21:00,1,2,2,0,2
-3.194563,57.634146,3,29/05/2016,1,10:50,1,1,1,0,2
-2.96588,57.675194,3,02/06/2016,5,02:00,4,1,2,0,2
-3.033729,57.638375,2,25/06/2016,7,17:30,1,1,1,0,2
-3.469946,57.672947,3,10/07/2016,1,16:30,1,2,2,0,2
-3.396303,57.650244,3,10/07/2016,1,15:05,1,2,2,0,2
-3.62798,57.554246,2,25/06/2016,7,17:23,1,1,1,0,2
-3.16601,57.047607,2,16/07/2016,7,11:40,1,1,1,0,2
-3.129369,57.448116,3,17/07/2016,1,12:30,1,1,1,0,2
-3.325755,57.646494,3,27/06/2016,2,15:20,1,1,1,0,1
-3.284265,57.633528,2,13/07/2016,4,15:56,1,1,1,0,2
-3.302945,57.648186,3,06/07/2016,4,17:45,1,1,1,0,1
-3.302713,57.648242,3,27/06/2016,2,15:47,1,1,1,0,1
-3.30275,57.637597,3,21/07/2016,5,10:25,1,1,1,0,1
-2.830214,57.547287,3,29/07/2016,6,19:00,1,1,2,0,2
-3.175228,57.480882,2,24/07/2016,1,23:30,6,2,2,2,2
-2.964839,57.676387,2,12/08/2016,6,21:00,4,2,2,0,2
-3.221686,57.162809,2,14/08/2016,1,12:57,1,1,1,0,2
-3.195513,57.63402,3,25/06/2016,7,10:25,1,1,1,0,2
-2.969185,57.675249,2,10/07/2016,1,03:25,4,1,1,0,2
-3.426953,57.706185,3,22/08/2016,2,15:25,1,1,1,0,2
-3.052924,57.198639,3,24/08/2016,4,12:37,1,1,1,0,2
-2.983517,57.061822,3,24/08/2016,4,12:50,1,1,1,0,2
-3.033889,57.638122,3,24/08/2016,4,21:43,6,1,1,0,2
-2.885853,57.112509,3,29/08/2016,2,13:10,1,1,1,0,2
-3.666555,57.600713,3,30/08/2016,3,12:20,1,1,1,0,2
-3.270869,57.45365,3,30/08/2016,3,16:30,1,1,1,0,2
-3.290851,57.714778,3,01/09/2016,5,16:23,1,1,1,0,2
-2.964838,57.676352,3,01/09/2016,5,10:15,1,1,1,0,2
-2.950812,57.054474,3,03/09/2016,7,13:25,1,1,1,0,2
-3.221632,57.162675,2,05/09/2016,2,13:20,1,1,1,0,2
-2.8579,57.129018,3,06/09/2016,3,11:30,1,1,1,0,2
-2.94837,57.540032,3,08/09/2016,5,11:30,1,1,1,0,2
-3.178822,57.631653,2,07/09/2016,4,21:20,6,2,2,0,2
-3.168879,56.936329,2,25/09/2016,1,18:30,1,1,1,0,2
-2.998907,57.556666,3,09/08/2016,3,17:15,1,1,1,0,2
-2.884775,57.684725,1,16/10/2016,1,11:30,1,1,2,0,2
-3.57422,57.633376,3,16/10/2016,1,09:05,1,2,2,0,2
-3.019332,57.535814,2,19/10/2016,4,16:25,1,1,2,0,2
