Longitude,Latitude,Accident_Severity,Date,Day_of_Week,Time,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Carriageway_Hazards,Urban_or_Rural_Area
-1.784019,55.391682,2,12/01/2016,3,19:42,6,2,2,0,2
-2.020355,55.746762,3,14/01/2016,5,21:45,4,8,4,0,2
-2.237721,55.26131,3,08/01/2016,6,14:20,1,3,4,3,2
-2.246276,55.265508,3,08/01/2016,6,13:30,1,3,3,0,2
-2.094467,55.564468,3,11/01/2016,2,09:15,1,8,4,0,2
-2.374234,55.319413,3,20/01/2016,4,06:00,6,1,4,0,2
-1.764219,55.243468,3,22/01/2016,6,15:40,1,1,2,0,2
-1.765684,55.582099,3,22/01/2016,6,15:15,1,1,2,0,2
-1.714739,55.383974,3,27/01/2016,4,00:47,6,1,2,2,2
-1.928757,55.660197,3,03/03/2016,5,07:50,1,1,2,0,2
-1.693634,55.292366,2,04/03/2016,6,08:35,1,2,2,0,2
-1.76737,55.396054,3,05/03/2016,7,18:41,6,2,2,0,2
-1.707817,55.412919,2,09/03/2016,4,09:33,1,2,2,0,2
-1.721176,55.47851,2,12/03/2016,7,12:51,1,1,1,0,2
-1.830607,55.402349,3,13/03/2016,1,15:50,1,1,1,0,2
-1.724826,55.31557,2,19/03/2016,7,16:31,1,1,1,0,2
-1.709712,55.412986,2,12/03/2016,7,20:30,4,1,1,0,2
-1.777686,55.268241,1,01/04/2016,6,16:50,1,2,2,0,2
-2.003864,55.549678,2,04/04/2016,2,18:17,1,1,2,0,2
-2.103002,55.566312,3,29/03/2016,3,22:17,6,1,1,0,2
-2.040309,55.755904,3,01/04/2016,6,11:55,1,1,1,0,2
-1.689941,55.250922,3,25/03/2016,6,12:10,1,1,1,0,2
-2.038281,55.800786,2,07/01/2016,5,19:28,6,2,5,0,2
-1.788597,55.554294,3,21/04/2016,5,08:05,1,1,1,0,2
-1.858341,55.396589,3,17/05/2016,3,10:52,1,1,1,7,2
-1.692416,55.400849,3,11/05/2016,4,09:56,1,1,1,0,2
-1.697116,55.409847,3,11/05/2016,4,08:50,1,1,1,0,2
-2.47715,55.353498,3,20/05/2016,6,23:25,6,2,2,0,2
-1.767636,55.245523,3,16/05/2016,2,11:08,1,1,1,0,2
-2.00841,55.75751,1,23/05/2016,2,16:07,1,1,1,0,1
