Longitude,Latitude,Accident_Severity,Date,Day_of_Week,Time,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Carriageway_Hazards,Urban_or_Rural_Area
-5.300092,50.210173,3,05/01/2016,3,08:50,1,2,2,0,1
-5.522438,50.127642,3,20/01/2016,4,13:20,1,1,1,0,1
-5.248448,50.21101,3,23/01/2016,7,18:27,6,2,2,0,2
-5.423289,50.18002,3,11/02/2016,5,14:05,1,1,2,0,2
-5.550654,50.099323,3,16/02/2016,3,10:27,1,1,1,0,1
-5.493169,50.190533,2,25/01/2016,2,18:13,6,1,2,0,2
-5.289775,50.215486,3,20/02/2016,7,18:57,4,2,2,0,1
-5.125796,50.264323,2,26/02/2016,6,15:00,1,2,2,0,1
-5.56517,50.134865,2,06/03/2016,1,08:18,1,1,1,0,2
-5.246045,50.078471,3,02/03/2016,4,21:50,5,1,1,0,2
-5.289153,50.222332,3,25/02/2016,5,23:19,4,1,1,0,1
-5.191897,50.253205,2,28/02/2016,1,16:12,1,1,1,0,2
-5.550907,50.12107,2,25/02/2016,5,12:35,1,1,1,0,2
-5.676675,50.083961,3,13/03/2016,1,03:58,6,1,1,0,2
-5.124763,50.184223,3,06/03/2016,1,13:24,1,1,2,0,2
-5.276863,50.22572,3,10/03/2016,5,21:18,4,1,1,0,1
-5.163121,50.231844,3,16/03/2016,4,15:42,1,1,1,0,2
-5.207264,50.049781,3,20/03/2016,1,04:20,6,1,1,0,2
-5.255889,50.230107,2,21/03/2016,2,06:13,1,1,2,0,1
-5.21379,50.244936,3,31/03/2016,5,15:00,1,1,1,0,1
-5.345124,50.146899,3,03/04/2016,1,23:20,6,2,2,2,2
-5.119427,50.266087,3,04/04/2016,2,17:28,1,1,1,0,2
-5.229799,50.242063,3,19/03/2016,7,17:45,1,1,1,0,1
-5.305233,50.213158,3,22/03/2016,3,15:36,1,1,1,0,1
-5.164014,50.25548,2,11/04/2016,2,14:35,1,1,1,0,2
-5.397042,50.183877,2,23/03/2016,4,18:23,1,1,1,0,2
-5.425767,50.163753,3,15/04/2016,6,15:45,1,1,1,0,2
-5.162926,50.279718,3,16/04/2016,7,17:25,1,1,1,0,2
-5.236156,50.204003,2,16/04/2016,7,12:13,1,1,1,0,2
-5.268156,50.222457,3,09/04/2016,7,06:48,1,1,1,0,1
-5.162758,50.279722,3,16/04/2016,7,16:20,1,1,1,0,2
-5.115472,50.169764,3,15/04/2016,6,08:45,1,1,1,0,2
-5.463956,50.160019,3,01/03/2016,3,12:40,1,2,2,0,2
-5.26917,50.220872,3,20/04/2016,4,20:21,4,4,1,0,1
-5.423935,50.179452,3,19/04/2016,3,16:08,1,1,1,0,2
-5.401498,50.196099,3,21/04/2016,5,08:30,1,1,1,0,2
-5.127718,50.168553,3,20/04/2016,4,17:09,1,1,1,0,2
-5.194747,50.257211,3,28/04/2016,5,11:20,1,1,1,0,1
-5.532542,50.11644,3,26/04/2016,3,22:53,7,1,1,0,1
-5.103619,50.263848,3,03/05/2016,3,09:10,1,1,1,0,1
-5.674734,50.142233,3,24/03/2016,5,07:39,1,2,2,0,2
-5.178496,50.129183,3,24/03/2016,5,10:58,1,2,2,0,2
-5.233574,50.2483,3,02/05/2016,2,14:20,1,1,1,0,2
-5.12988,50.348775,2,30/04/2016,7,22:24,6,1,1,0,2
-5.528972,50.12496,3,25/03/2016,6,14:18,1,1,1,0,1
-5.546792,50.109707,3,11/04/2016,2,14:30,1,1,1,0,1
-5.123496,50.196366,3,25/03/2016,6,11:50,1,1,1,0,2
-5.230379,50.217451,3,12/04/2016,3,19:58,1,1,1,0,2
-5.587219,50.183309,3,03/04/2016,1,16:05,1,1,1,0,2
-5.186434,50.243882,3,27/03/2016,1,17:35,1,2,2,0,2
-5.423258,50.184474,2,31/03/2016,5,17:06,1,1,1,0,2
-5.272435,50.221059,3,16/04/2016,7,13:04,1,1,1,0,1
-5.151739,50.049108,3,09/04/2016,7,12:28,1,1,1,0,2
-5.405437,50.170136,3,09/04/2016,7,23:12,6,1,1,0,2
-5.289295,50.104539,3,01/04/2016,6,15:40,1,1,1,0,2
-5.416238,50.188406,3,19/04/2016,3,21:00,4,1,1,0,2
-5.273637,50.126582,3,15/04/2016,6,15:41,1,1,1,0,2
-5.226963,50.215459,3,25/03/2016,6,06:11,6,8,2,0,2
-5.381611,50.164383,3,14/05/2016,7,21:04,1,1,1,0,2
-5.128774,50.188568,2,19/04/2016,3,13:30,1,1,1,0,2
-5.219121,50.245149,3,28/04/2016,5,08:55,1,1,1,0,1
-5.268629,50.226708,3,24/04/2016,1,13:47,1,1,1,0,1
-5.536339,50.125042,2,25/04/2016,2,21:45,7,1,1,0,1
-5.279338,50.21866,3,17/05/2016,3,18:52,1,2,2,0,2
-5.438643,50.12071,2,13/05/2016,6,12:14,1,1,1,0,2
-5.408412,50.191254,3,23/05/2016,2,12:05,1,1,1,0,2
-5.539756,50.122985,3,19/05/2016,5,17:15,1,2,2,0,1
-5.442742,50.184978,3,21/05/2016,7,06:50,1,2,2,0,2
-5.490744,50.13443,2,24/04/2016,1,13:20,1,1,1,0,2
-5.286144,50.237702,3,22/05/2016,1,16:28,1,1,1,0,2
-5.676401,50.12693,3,23/05/2016,2,17:07,1,1,1,0,2
-5.19403,50.292405,3,28/05/2016,7,13:15,1,1,1,0,2
-5.163338,50.278933,2,29/05/2016,1,11:29,1,1,1,0,2
-5.399041,50.19663,3,29/05/2016,1,15:16,1,1,1,0,2
-5.271123,50.228725,3,04/06/2016,7,15:00,1,1,1,0,1
-5.216203,50.239103,3,15/05/2016,1,21:50,4,1,1,0,1
-5.315012,50.216298,3,09/05/2016,2,14:56,1,2,2,0,1
-5.266451,50.115179,3,18/05/2016,4,09:07,1,2,2,0,1
-5.50245,50.178152,3,19/05/2016,5,01:07,6,1,1,0,2
-5.491033,50.133981,3,11/05/2016,4,10:55,1,1,1,0,2
-5.229077,50.209805,2,01/06/2016,4,08:48,1,1,1,0,2
-5.441792,50.173913,3,01/05/2016,1,21:56,4,1,1,0,2
-5.191895,50.253178,2,16/04/2016,7,17:34,1,1,1,0,2
-5.318688,50.215932,1,28/06/2016,3,07:40,1,1,1,0,2
-5.126572,50.296508,3,10/06/2016,6,10:15,1,1,1,0,2
-5.163153,50.042086,3,08/06/2016,4,07:50,1,1,1,0,2
-5.247483,50.247561,2,16/06/2016,5,02:23,6,1,2,0,2
-5.54261,50.113703,2,13/06/2016,2,17:57,1,1,1,0,1
-5.30078,50.212628,3,17/06/2016,6,19:30,1,1,1,0,1
-5.163356,50.278995,3,12/06/2016,1,17:03,1,1,1,0,2
-5.106035,50.344459,3,23/05/2016,2,07:25,1,1,1,0,2
-5.280539,50.224105,2,17/06/2016,6,14:30,1,2,2,0,1
-5.196981,50.254316,3,14/06/2016,3,13:50,1,1,1,0,1
-5.360134,50.204789,3,23/05/2016,2,19:23,1,1,1,0,2
-5.274144,50.213868,3,27/05/2016,6,17:27,1,1,1,0,2
-5.259469,50.038753,3,23/06/2016,5,03:17,6,1,1,0,2
-5.548222,50.116753,2,23/06/2016,5,17:03,1,1,1,0,1
-5.194165,50.21517,2,23/06/2016,5,13:14,1,1,1,0,1
-5.478998,50.146164,3,28/06/2016,3,15:42,1,1,1,0,2
-5.65919,50.122562,3,31/05/2016,3,21:07,1,1,1,0,2
-5.120471,50.297698,3,24/06/2016,6,01:58,6,2,2,0,2
-5.655144,50.147864,2,25/06/2016,7,16:45,1,1,1,0,2
-5.175909,50.317381,3,09/06/2016,5,16:43,1,1,1,0,2
-5.470211,50.123809,3,30/06/2016,5,12:31,1,1,1,0,2
-5.289573,50.215609,3,01/07/2016,6,16:10,1,1,1,0,1
-5.543082,50.121984,3,02/07/2016,7,10:30,1,1,1,0,1
-5.543932,50.119655,3,18/05/2016,4,22:00,4,1,1,0,1
-5.201946,50.288373,3,05/07/2016,3,11:05,1,1,1,0,2
-5.235338,50.236025,3,28/06/2016,3,15:40,1,5,1,0,1
-5.280491,50.260362,2,11/06/2016,7,11:08,1,1,1,0,2
-5.435867,50.125327,3,12/07/2016,3,17:00,1,1,1,0,2
-5.459917,50.129515,3,04/07/2016,2,14:40,1,1,1,0,2
-5.419296,50.116082,3,13/06/2016,2,11:19,1,1,2,0,2
-5.28613,50.237702,3,14/06/2016,3,13:42,1,1,1,0,2
-5.162852,50.279657,3,16/06/2016,5,18:00,1,1,1,0,2
-5.294982,50.176097,3,13/07/2016,4,06:40,1,1,2,0,2
-5.227043,50.23013,3,19/07/2016,3,18:00,1,1,1,0,1
-5.199602,50.172189,3,09/05/2016,2,17:22,1,2,2,0,2
-5.143207,50.271707,3,02/06/2016,5,07:45,1,1,1,0,2
-5.281356,50.228238,3,02/06/2016,5,09:35,1,1,1,0,2
-5.266957,50.105557,3,14/07/2016,5,17:10,1,1,1,0,1
-5.231951,50.234896,3,16/07/2016,7,08:40,1,1,1,0,1
-5.26427,50.096501,2,17/07/2016,1,17:56,1,1,1,0,1
-5.269372,50.22711,3,10/06/2016,6,15:00,1,2,2,0,1
-5.273595,50.126583,3,17/06/2016,6,11:42,1,2,2,0,2
-5.272767,50.228355,3,18/07/2016,2,19:40,1,1,1,0,1
-5.109298,50.342545,3,21/07/2016,5,15:51,1,1,1,0,2
-5.129474,50.14634,3,21/07/2016,5,17:54,1,1,1,0,2
-5.150446,50.026383,3,04/08/2016,5,12:30,1,1,1,0,2
-5.267597,50.250559,3,05/06/2016,1,08:18,1,1,1,0,1
-5.399253,50.186206,1,08/08/2016,2,16:38,1,1,1,0,2
-5.203431,50.247778,3,17/07/2016,1,15:55,1,1,1,0,2
-5.237903,50.082747,3,26/07/2016,3,15:35,1,2,2,0,1
-5.230218,50.12707,3,24/07/2016,1,10:45,1,2,2,0,2
-5.218069,50.224127,3,22/06/2016,4,21:07,1,1,1,0,1
-5.328371,50.215061,2,23/07/2016,7,17:52,1,2,2,0,2
-5.202736,50.250586,3,06/08/2016,7,13:15,1,1,1,0,2
-5.466345,50.165751,3,17/06/2016,6,09:50,1,2,2,0,2
-5.552214,50.115101,3,19/06/2016,1,13:22,1,2,2,0,1
-5.270733,50.228547,3,21/06/2016,3,13:05,1,1,1,0,1
-5.687676,50.076279,3,25/06/2016,7,11:46,1,1,1,0,2
-5.209907,49.986589,3,28/07/2016,5,11:15,1,1,1,0,2
-5.197668,50.216189,2,29/07/2016,6,09:05,1,2,2,0,1
-5.12821,50.100376,3,27/06/2016,2,12:53,1,1,1,0,2
-5.440259,50.17403,3,28/06/2016,3,18:20,1,1,1,0,2
-5.552626,50.100828,2,11/08/2016,5,19:10,1,1,1,0,1
-5.371906,50.203953,1,06/08/2016,7,22:29,4,2,2,0,2
-5.188279,50.262472,3,31/07/2016,1,12:10,1,1,1,0,2
-5.233563,50.243794,3,02/08/2016,3,15:45,1,2,2,0,2
-5.439894,50.174212,3,30/06/2016,5,15:16,1,1,1,0,2
-5.302522,50.222411,3,03/08/2016,4,22:32,6,1,1,0,1
-5.150569,50.288384,2,04/08/2016,5,15:36,1,1,1,0,2
-5.125586,50.348054,3,04/08/2016,5,17:38,1,1,1,0,2
-5.270994,50.097895,2,06/08/2016,7,15:38,1,1,1,0,1
-5.404085,50.18224,2,10/08/2016,4,14:05,1,1,1,0,2
-5.191754,50.253164,2,07/07/2016,5,05:50,1,1,1,0,2
-5.512446,50.129556,3,01/01/2016,6,01:04,4,1,1,0,2
-5.430111,50.174736,2,08/07/2016,6,12:35,1,1,1,0,2
-5.286189,50.220014,3,08/08/2016,2,15:14,1,1,1,0,1
-5.244671,50.230538,3,09/07/2016,7,17:39,1,2,2,0,1
-5.127163,50.18728,3,02/07/2016,7,21:05,6,2,2,0,2
-5.111601,50.174861,3,02/07/2016,7,07:20,1,2,2,0,2
-5.398203,50.190762,3,05/07/2016,3,21:50,4,1,1,0,2
-5.128652,50.188626,3,18/08/2016,5,08:00,1,7,2,0,2
-5.284737,50.212552,2,15/08/2016,2,21:32,4,1,1,0,1
-5.223853,50.049438,3,05/06/2016,1,05:30,1,1,1,0,2
-5.440023,50.174649,3,05/07/2016,3,15:15,1,1,1,0,2
-5.538121,50.118285,3,13/07/2016,4,14:00,1,1,1,0,1
-5.133721,50.326416,3,04/09/2016,1,12:00,1,1,1,0,2
-5.13305,50.325606,3,14/07/2016,5,22:20,6,1,1,0,2
-5.204302,50.067172,3,16/08/2016,3,19:07,1,1,1,0,2
-5.113435,50.160193,1,19/09/2016,2,05:27,6,2,2,0,2
-5.479169,50.214983,3,25/07/2016,2,15:26,1,1,1,0,2
-5.450557,50.167256,3,21/08/2016,1,13:06,1,1,1,0,2
-5.114978,50.261348,2,22/08/2016,2,15:25,1,1,1,0,1
-5.548278,50.116751,3,20/08/2016,7,11:10,1,1,1,0,1
-5.273533,50.126702,3,21/07/2016,5,12:26,1,1,1,0,2
-5.257623,50.211931,2,26/07/2016,3,13:48,1,1,1,0,2
-5.567818,50.191833,3,12/09/2016,2,15:30,1,1,1,0,2
-5.300844,50.223098,2,23/07/2016,7,16:30,1,2,2,0,2
-5.159092,50.256378,3,18/07/2016,2,09:55,1,1,1,0,2
-5.269372,50.22711,3,22/07/2016,6,14:12,1,1,1,0,1
-5.146947,50.273711,3,24/08/2016,4,16:06,1,1,1,0,2
-5.111554,50.296426,3,27/07/2016,4,10:45,1,1,1,0,2
-5.587686,50.103933,3,27/07/2016,4,16:10,1,8,2,0,2
-5.108162,50.16979,2,05/08/2016,6,17:00,1,1,1,0,2
-5.160263,50.209414,1,23/09/2016,6,08:29,1,1,1,0,2
-5.563828,50.109841,3,25/08/2016,5,18:41,6,1,1,0,2
-5.300092,50.210173,3,03/09/2016,7,13:40,1,2,2,0,1
-5.492079,50.207461,3,04/09/2016,1,23:15,4,2,2,0,2
-5.676557,50.084792,3,15/09/2016,5,09:56,1,1,1,0,2
-5.122749,50.186419,3,21/07/2016,5,14:59,1,1,1,0,2
-5.473202,50.203871,3,05/09/2016,2,09:55,1,1,2,0,2
-5.164443,50.276969,3,02/09/2016,6,07:49,1,2,2,0,2
-5.26705,50.105077,3,11/09/2016,1,12:20,1,1,1,0,1
-5.408011,50.168118,3,20/09/2016,3,23:56,6,1,1,0,2
-5.228728,50.222067,3,23/08/2016,3,13:01,1,1,1,0,2
-5.150268,50.293178,3,22/09/2016,5,19:00,1,1,1,0,2
-5.230097,50.06293,3,22/09/2016,5,12:15,1,1,1,0,2
-5.569585,50.116151,3,24/09/2016,7,20:15,6,2,2,0,2
-5.130649,50.164543,3,28/09/2016,4,09:15,1,1,1,0,2
-5.484595,50.210754,2,27/09/2016,3,11:00,1,2,2,0,2
-5.268811,50.227513,3,28/09/2016,4,07:50,1,1,1,0,1
-5.23111,50.245481,3,28/09/2016,4,20:02,6,2,2,0,2
-5.689787,50.082096,2,01/08/2016,2,16:30,1,2,2,0,2
-5.127574,50.328462,2,03/09/2016,7,13:00,1,2,2,0,2
-5.20813,49.974574,3,17/07/2016,1,23:00,6,1,1,0,2
-5.124989,50.162788,3,01/10/2016,7,14:18,1,1,2,0,2
-5.423137,50.174762,3,01/10/2016,7,23:08,6,1,1,0,2
-5.227731,50.062249,2,12/10/2016,4,15:51,1,1,2,0,2
-5.535751,50.119725,2,09/10/2016,1,03:11,4,1,1,0,1
-5.269169,50.220864,3,04/10/2016,3,12:08,1,1,1,0,1
-5.230471,50.062883,3,12/10/2016,4,08:10,1,8,2,0,2
-5.107322,50.343291,3,03/08/2016,4,09:05,1,1,1,0,2
-5.201493,50.215517,3,03/08/2016,4,14:40,1,1,1,0,1
-5.293274,50.214577,3,11/08/2016,5,16:48,1,1,1,0,1
-5.266462,50.101783,3,13/10/2016,5,15:25,1,1,1,0,1
-5.311413,50.10498,2,14/10/2016,6,18:58,6,2,2,0,2
-5.376374,50.232288,2,13/10/2016,5,12:00,1,1,1,0,2
-5.360406,50.204871,3,06/08/2016,7,16:30,1,1,1,0,2
-5.185075,49.994462,2,06/08/2016,7,10:50,1,2,2,0,2
-5.670056,50.120645,3,20/10/2016,5,16:08,1,1,1,0,2
-5.549198,50.125585,3,09/08/2016,3,18:39,1,1,1,0,1
-5.109532,50.116901,3,02/10/2016,1,18:30,1,1,1,0,2
-5.12433,50.190892,3,18/10/2016,3,14:00,1,1,1,0,2
-5.535029,50.119612,3,24/10/2016,2,12:44,1,2,2,0,1
-5.146432,50.298239,2,05/10/2016,4,12:31,1,1,1,0,2
-5.395991,50.199859,3,19/08/2016,6,17:13,1,1,1,0,2
-5.159744,50.119637,3,19/08/2016,6,12:15,1,1,2,0,2
-5.478585,50.216593,3,20/08/2016,7,12:45,1,5,2,0,2
-5.19882,50.17159,3,14/10/2016,6,16:08,1,1,1,0,2
-5.417314,50.131066,3,23/08/2016,3,14:40,1,1,1,0,2
-5.446503,50.185846,3,27/10/2016,5,09:05,1,1,1,0,2
-5.258122,50.040104,3,26/10/2016,4,07:16,6,1,2,0,2
-5.287113,50.104331,3,29/10/2016,7,13:51,1,1,1,0,2
-5.25364,50.236207,2,07/10/2016,6,15:35,1,1,1,0,2
-5.117426,50.164935,3,01/10/2016,7,09:50,1,1,1,0,2
-5.543092,50.113977,3,01/09/2016,5,05:39,5,1,1,0,1
-5.280129,50.243261,3,01/11/2016,3,16:00,1,1,1,0,2
-5.446068,50.176107,3,03/09/2016,7,00:47,6,1,2,0,2
-5.396798,50.166629,3,02/11/2016,4,19:00,6,1,1,0,2
-5.464062,50.172908,2,03/11/2016,5,16:35,1,1,2,0,2
-5.2541,50.227305,3,04/11/2016,6,09:20,1,2,2,0,1
-5.605674,50.106155,3,08/09/2016,5,07:50,1,1,1,0,2
-5.239326,50.235473,3,08/11/2016,3,08:58,1,1,2,0,2
-5.524674,50.126648,3,10/09/2016,7,10:55,1,1,1,0,2
-5.163085,50.279353,3,12/09/2016,2,12:10,1,8,2,0,2
-5.163104,50.279857,2,08/11/2016,3,19:20,4,4,2,0,2
-5.362555,50.151901,3,11/11/2016,6,10:12,1,1,1,0,2
-5.314956,50.198306,3,14/09/2016,4,11:00,1,1,1,0,2
-5.145388,50.272844,3,13/09/2016,3,07:00,1,1,2,0,2
-5.249364,50.260139,3,16/09/2016,6,17:23,1,1,1,0,2
-5.185919,50.246676,2,30/10/2016,1,18:40,6,1,1,0,2
-5.18898,50.261832,2,15/09/2016,5,13:05,1,1,1,0,2
-5.48012,50.202621,3,12/11/2016,7,14:27,1,1,2,0,2
-5.249896,50.005195,3,15/09/2016,5,15:45,1,1,1,0,2
-5.149327,50.216197,3,19/09/2016,2,07:40,1,1,2,0,2
-5.146293,50.29826,2,16/11/2016,4,14:50,1,2,2,0,2
-5.545616,50.116131,3,23/09/2016,6,13:30,1,1,1,0,1
-5.162531,50.279252,2,04/10/2016,3,10:30,1,9,1,0,2
-5.480941,50.13495,2,21/11/2016,2,22:50,6,5,2,0,2
-5.103065,50.14776,3,27/09/2016,3,10:30,1,1,1,0,1
-5.549704,50.124481,3,24/09/2016,7,15:55,1,1,1,0,2
-5.409724,50.190793,3,24/09/2016,7,11:48,1,1,1,0,2
-5.537679,50.11873,2,27/09/2016,3,09:15,1,2,2,0,1
-5.12831,50.180826,3,28/09/2016,4,11:16,1,1,1,0,2
-5.524623,50.200719,3,25/09/2016,1,17:50,1,1,1,0,2
-5.217204,50.235846,3,30/09/2016,6,08:27,1,1,2,0,1
-5.240104,50.234534,3,04/10/2016,3,15:30,1,1,1,0,2
-5.52827,50.130443,2,14/10/2016,6,11:00,1,1,1,0,1
-5.274154,50.231609,2,15/10/2016,7,15:05,1,1,1,0,2
-5.412606,50.195431,3,15/10/2016,7,08:11,1,1,2,0,2
-5.232665,50.242748,3,20/10/2016,5,17:30,1,1,1,0,2
