Longitude,Latitude,Accident_Severity,Date,Day_of_Week,Time,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Carriageway_Hazards,Urban_or_Rural_Area
-3.590196,56.064545,3,01/02/2016,2,07:00,6,2,2,0,2
-3.73605,56.071719,3,02/06/2016,5,15:45,1,1,1,0,2
-3.7003,56.064362,3,11/07/2016,2,17:55,1,1,1,0,2
-3.590261,56.064562,3,21/07/2016,5,13:35,1,1,1,0,2
-3.619289,56.065757,3,09/08/2016,3,17:12,1,2,2,0,2
-3.718654,56.068188,3,09/08/2016,3,12:05,1,1,1,0,2
-3.590294,56.06458,3,28/10/2016,6,20:00,6,1,2,0,2
-3.590164,56.064546,3,30/10/2016,1,15:40,1,1,1,0,2
-3.625986,56.066505,1,18/12/2016,1,02:30,6,1,1,0,2
-3.608975,55.973523,3,22/12/2016,5,15:20,1,6,2,0,1
-3.589917,55.878454,3,06/01/2016,4,07:55,4,1,2,0,2
-3.700516,55.898731,3,05/01/2016,3,19:15,4,9,2,0,2
-3.616539,55.981225,3,07/01/2016,5,11:15,1,2,2,0,2
-3.706729,55.865,3,24/12/2016,7,15:50,4,1,2,0,2
-3.703681,55.897591,3,12/01/2016,3,08:45,1,2,2,0,2
-3.638185,55.903638,3,12/01/2016,3,15:35,1,2,2,0,1
-3.665172,55.898442,3,13/01/2016,4,08:35,1,9,2,0,1
-3.624048,55.874656,2,15/01/2016,6,12:15,1,1,1,0,2
-3.652216,55.875108,3,15/01/2016,6,09:30,1,1,2,0,2
-3.601978,55.899981,2,05/01/2016,3,14:20,1,2,2,0,1
-3.694593,55.898975,3,12/01/2016,3,11:45,1,2,2,0,2
-3.660007,55.880485,3,20/01/2016,4,16:00,1,8,2,0,2
-3.647201,55.902368,3,09/01/2016,7,13:20,1,2,2,0,1
-3.715005,55.896859,3,19/01/2016,3,13:20,1,1,1,0,2
-3.684219,55.865894,3,21/12/2016,4,17:15,4,1,1,0,1
-3.610994,55.872069,3,04/02/2016,5,15:43,1,8,2,0,2
-3.698451,55.887716,3,10/02/2016,4,14:05,1,1,1,0,2
-3.646046,55.900406,3,11/02/2016,5,12:14,1,1,2,0,1
-3.638502,55.899033,3,10/02/2016,4,18:16,5,1,1,0,1
-3.606403,55.976055,3,12/02/2016,6,09:55,1,1,1,0,1
-3.596043,55.840353,3,14/02/2016,1,10:25,1,1,4,0,2
-3.69249,55.884113,3,11/02/2016,5,09:40,4,1,2,0,2
-3.702492,55.863136,3,01/01/2016,6,02:00,4,1,4,0,1
-3.707057,55.827315,3,19/02/2016,6,20:00,4,8,2,0,2
-3.596635,55.895297,3,23/02/2016,3,07:04,1,1,4,0,2
-3.650208,55.901618,3,21/02/2016,1,21:25,4,2,4,0,1
-3.600906,55.977591,3,04/03/2016,6,16:50,1,1,2,0,1
-3.641519,55.900781,3,13/01/2016,4,10:00,1,1,2,0,1
-3.669953,55.828399,2,09/03/2016,4,17:15,1,1,1,0,2
-3.607498,55.888802,3,11/03/2016,6,13:44,1,1,1,0,2
-3.59712,55.895021,3,11/03/2016,6,22:30,6,1,2,0,2
-3.611168,55.975795,3,06/01/2016,4,18:15,4,2,2,0,1
-3.626121,55.970836,3,06/03/2016,1,20:39,1,1,1,0,1
-3.705323,55.932454,3,24/03/2016,5,07:00,1,1,1,0,2
-3.584818,55.976092,3,28/03/2016,2,21:20,1,1,1,0,1
-3.641833,55.902538,3,26/03/2016,7,12:59,1,5,2,0,1
-3.586655,55.899973,3,29/03/2016,3,16:37,1,2,2,0,1
-3.600765,55.897328,3,29/03/2016,3,17:59,1,2,2,0,2
-3.702179,55.898358,3,22/02/2016,2,09:51,1,1,1,0,2
-3.597623,55.983484,3,31/03/2016,5,14:30,1,2,2,0,2
-3.677452,55.870552,3,30/03/2016,4,08:30,1,1,1,0,2
-3.775439,55.884104,3,03/04/2016,1,05:51,4,7,2,0,2
-3.61667,55.975526,2,05/04/2016,3,09:15,1,1,2,0,1
-3.595766,55.895542,3,08/04/2016,6,17:48,1,1,2,0,2
-3.707802,55.865057,3,31/03/2016,5,17:20,1,1,1,0,2
-3.678591,55.932875,3,07/04/2016,5,18:00,1,1,1,0,2
-3.675416,55.940916,3,15/04/2016,6,14:25,1,8,1,0,2
-3.581288,55.902513,3,18/04/2016,2,06:30,1,1,2,0,1
-3.614384,55.981046,3,31/03/2016,5,14:25,1,2,2,0,1
-3.643208,55.823035,3,30/04/2016,7,07:50,1,1,1,0,2
-3.595159,55.849171,3,01/05/2016,1,18:30,1,2,2,0,2
-3.689159,55.860803,3,03/05/2016,3,17:25,1,1,1,0,1
-3.622494,55.871118,3,08/05/2016,1,21:50,4,1,1,0,2
-3.699527,55.899509,3,09/05/2016,2,10:30,1,1,1,0,2
-3.622927,55.871157,2,09/05/2016,2,15:25,1,1,1,0,2
-3.695539,55.866395,3,09/04/2016,7,11:37,1,1,2,0,1
-3.626648,55.901266,3,13/04/2016,4,08:40,1,1,1,0,1
-3.644512,55.906484,3,18/05/2016,4,15:35,1,1,1,0,1
-3.625568,55.879273,2,19/05/2016,5,15:55,1,1,1,0,2
-3.711101,55.863412,3,20/05/2016,6,19:05,1,1,1,0,2
-3.638955,55.877145,3,19/05/2016,5,16:40,1,1,1,0,2
-3.627115,55.878803,2,27/05/2016,6,00:30,6,2,2,0,2
-3.724899,55.869321,3,27/05/2016,6,08:30,1,2,2,0,2
-3.700356,55.903479,3,08/06/2016,4,12:34,1,1,1,0,2
-3.656163,55.877319,3,10/06/2016,6,11:15,1,1,1,0,2
-3.593074,55.859523,3,16/06/2016,5,07:44,1,2,2,0,2
-3.641352,55.900613,3,18/06/2016,7,08:00,1,1,1,0,1
