Longitude,Latitude,Accident_Severity,Date,Day_of_Week,Time,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Carriageway_Hazards,Urban_or_Rural_Area
-4.40251,57.939043,3,13/01/2016,4,12:10,1,1,3,0,2
-3.962583,57.978988,3,12/02/2016,6,13:30,1,1,2,0,2
-4.405463,57.951351,3,05/06/2016,1,16:10,1,1,1,0,2
-4.401012,57.965929,3,15/06/2016,4,19:34,1,1,1,0,2
-4.401018,58.014028,3,19/06/2016,1,00:05,6,1,1,0,2
-5.087505,57.861791,2,25/06/2016,7,13:45,1,1,1,0,2
-5.018113,58.257297,3,28/07/2016,5,17:00,1,9,1,0,2
-4.083294,57.940356,3,30/07/2016,7,12:30,1,1,1,0,2
-4.112636,58.540673,2,13/08/2016,7,18:10,1,1,1,0,2
-4.093399,57.882077,1,15/08/2016,2,02:28,6,1,1,2,2
-4.310828,57.90553,3,02/09/2016,6,22:08,6,2,2,0,2
-4.620001,58.507816,2,06/09/2016,3,12:15,1,1,1,2,2
-5.000486,58.223058,3,26/09/2016,2,16:42,1,1,1,0,2
-4.337303,58.01888,3,29/09/2016,5,18:30,6,1,2,7,2
-4.349871,57.897275,2,26/10/2016,4,12:15,1,2,2,0,2
-4.018792,57.898253,3,05/12/2016,2,15:40,1,7,4,7,2
